"",drug,cell_line,prediction,OncotreeCode,IC50
910,JNK Inhibitor VIII,NCIH1299,5.548610,LCLC,5.186810
911,JQ1,NCIH1299,2.721567,LCLC,0.948800
912,KRAS (G12C) Inhibitor-12,NCIH1299,4.889945,LCLC,3.410693
913,KU-55933,NCIH1299,5.104806,LCLC,6.129259
914,LCL161,NCIH1299,5.009793,LCLC,4.589251
915,LGK974,NCIH1299,4.482711,LCLC,4.115643
916,LY2109761,NCIH1299,5.304851,LCLC,5.661692
917,Lapatinib,NCIH1299,4.368643,LCLC,5.618167
918,Leflunomide,NCIH1299,5.173721,LCLC,5.068115
919,Lenalidomide,NCIH1299,5.585593,LCLC,5.472552
920,Lestaurtinib,NCIH1299,0.349177,LCLC,-0.423013
921,Linsitinib,NCIH1299,4.629883,LCLC,5.174545
922,Luminespib,NCIH1299,-2.021414,LCLC,-3.013247
923,MG-132,NCIH1299,-1.539457,LCLC,-1.606815
924,MIRA-1,NCIH1299,5.807480,LCLC,5.907918
925,MK-1775,NCIH1299,0.397674,LCLC,0.209331
926,MK-2206,NCIH1299,3.857701,LCLC,3.827394
927,ML323,NCIH1299,4.768521,LCLC,4.001355
928,MN-64,NCIH1299,4.943532,LCLC,5.936162
929,Mirin,NCIH1299,4.876082,LCLC,4.991169
930,Motesanib,NCIH1299,5.908326,LCLC,6.131382
931,NU7441,NCIH1299,3.449384,LCLC,3.521643
932,NVP-ADW742,NCIH1299,3.060195,LCLC,4.314051
933,Navitoclax,NCIH1299,2.764237,LCLC,4.156930
934,Nilotinib,NCIH1299,3.761154,LCLC,4.998910
935,Niraparib,NCIH1299,4.637407,LCLC,4.856973
936,Nutlin-3a (-),NCIH1299,5.651486,LCLC,5.276151
937,OF-1,NCIH1299,4.658306,LCLC,4.058891
938,OSI-027,NCIH1299,3.126451,LCLC,1.478582
939,OTX015,NCIH1299,2.502441,LCLC,1.086611
940,Olaparib,NCIH1299,4.452664,LCLC,5.599367
941,Osimertinib,NCIH1299,2.251265,LCLC,3.832455
942,Oxaliplatin,NCIH1299,4.933762,LCLC,3.966250
943,P22077,NCIH1299,4.865644,LCLC,5.889721
944,PCI-34051,NCIH1299,4.850463,LCLC,4.242200
945,PD173074,NCIH1299,4.499624,LCLC,4.027859
946,PFI-1,NCIH1299,4.143933,LCLC,3.485345
947,PFI3,NCIH1299,5.490832,LCLC,5.409631
948,PLX-4720,NCIH1299,4.730977,LCLC,5.051263
949,PRIMA-1MET,NCIH1299,4.391226,LCLC,5.452650
950,PRT062607,NCIH1299,3.431846,LCLC,2.852697
951,Paclitaxel,NCIH1299,-3.410423,LCLC,-2.020618
952,Palbociclib,NCIH1299,4.125218,LCLC,2.902014
953,Pevonedistat,NCIH1299,0.024500,LCLC,-0.415934
954,Picolinici-acid,NCIH1299,5.442443,LCLC,5.679665
955,Pictilisib,NCIH1299,2.033437,LCLC,1.643482
956,RO-3306,NCIH1299,4.118883,LCLC,3.031667
957,RVX-208,NCIH1299,5.150287,LCLC,4.138956
958,Refametinib,NCIH1299,1.208161,LCLC,1.816113
959,Ribociclib,NCIH1299,4.149539,LCLC,2.889385
960,Rucaparib,NCIH1299,4.480147,LCLC,4.765758
961,Ruxolitinib,NCIH1299,5.538799,LCLC,5.414423
962,SB216763,NCIH1299,5.372497,LCLC,4.409957
963,SB590885,NCIH1299,4.528608,LCLC,4.902881
964,SGC0946,NCIH1299,2.262801,LCLC,2.255224
965,SN-38,NCIH1299,-3.753738,LCLC,-3.304867
966,Sabutoclax,NCIH1299,-0.299045,LCLC,-0.848943
967,Savolitinib,NCIH1299,2.475616,LCLC,3.800930
968,Selumetinib,NCIH1299,3.678520,LCLC,3.323025
969,Sepantronium bromide,NCIH1299,-5.960077,LCLC,-4.534037
970,Serdemetan,NCIH1299,4.594476,LCLC,4.056652
971,Sorafenib,NCIH1299,2.772456,LCLC,3.083745
972,Staurosporine,NCIH1299,-2.234444,LCLC,-3.261003
973,Talazoparib,NCIH1299,4.002878,LCLC,4.094152
974,Tamoxifen,NCIH1299,4.065277,LCLC,5.287599
975,Tanespimycin,NCIH1299,0.550373,LCLC,-0.868724
976,Taselisib,NCIH1299,3.609811,LCLC,2.636516
977,Telomerase Inhibitor IX,NCIH1299,0.656059,LCLC,0.215811
978,Temozolomide,NCIH1299,6.704295,LCLC,6.496252
979,Trametinib,NCIH1299,-0.849697,LCLC,0.131219
980,Ulixertinib,NCIH1299,2.170644,LCLC,2.394521
981,Uprosertib,NCIH1299,4.381556,LCLC,2.806265
982,VE-822,NCIH1299,3.908365,LCLC,4.159415
983,Veliparib,NCIH1299,5.453622,LCLC,5.697729
984,Venetoclax,NCIH1299,3.319318,LCLC,3.622796
985,Vismodegib,NCIH1299,5.257342,LCLC,4.837852
986,Vorinostat,NCIH1299,1.909642,LCLC,2.751120
987,WEHI-539,NCIH1299,4.470882,LCLC,5.482658
988,WIKI4,NCIH1299,3.934317,LCLC,5.125103
989,WZ4003,NCIH1299,3.992517,LCLC,3.195575
990,Wnt-C59,NCIH1299,4.439867,LCLC,4.327226
991,XAV939,NCIH1299,4.480109,LCLC,4.477803
992,YK-4-279,NCIH1299,2.318719,LCLC,2.955946
993,ZM447439,NCIH1299,2.930376,LCLC,3.718174
994,5-Fluorouracil,LCLC103H,5.213707,LCLC,4.614290
995,ABT737,LCLC103H,2.783107,LCLC,4.035264
996,AGI-5198,LCLC103H,5.005158,LCLC,5.958144
997,AGI-6780,LCLC103H,4.742843,LCLC,3.698390
998,AGK2,LCLC103H,3.318296,LCLC,3.236065
999,AZ960,LCLC103H,2.539900,LCLC,0.701759
1000,AZD3759,LCLC103H,2.895579,LCLC,4.176442
1001,AZD4547,LCLC103H,3.366663,LCLC,3.934613
1002,AZD5363,LCLC103H,2.890939,LCLC,3.645900
1003,AZD5582,LCLC103H,2.784138,LCLC,0.295615
1004,AZD6738,LCLC103H,2.658092,LCLC,4.165824
1005,AZD7762,LCLC103H,0.543389,LCLC,0.315133
1006,AZD8186,LCLC103H,3.138536,LCLC,3.142563
1007,Afatinib,LCLC103H,1.812817,LCLC,2.324636
1008,Afuresertib,LCLC103H,2.751880,LCLC,3.218657
1009,Alpelisib,LCLC103H,3.973292,LCLC,3.344430
1010,Avagacestat,LCLC103H,5.291221,LCLC,5.254726
1011,Axitinib,LCLC103H,3.700941,LCLC,3.266417
1012,BMS-345541,LCLC103H,3.774841,LCLC,2.839718
1013,BMS-536924,LCLC103H,2.355646,LCLC,3.098864
1014,BMS-754807,LCLC103H,3.565971,LCLC,3.167666
1015,Bortezomib,LCLC103H,-5.403131,LCLC,-4.718198
1016,Bosutinib,LCLC103H,3.014571,LCLC,3.441534
1017,Buparlisib,LCLC103H,1.279811,LCLC,1.276236
1018,CCT007093,LCLC103H,5.319017,LCLC,5.912235
1019,CZC24832,LCLC103H,5.178550,LCLC,5.686123
1020,Camptothecin,LCLC103H,-1.675795,LCLC,-0.941273
1021,Cediranib,LCLC103H,2.317225,LCLC,2.415487
1022,Crizotinib,LCLC103H,3.444624,LCLC,2.874591
1023,Cyclophosphamide,LCLC103H,5.425250,LCLC,6.070112
1024,Dactinomycin,LCLC103H,-2.963576,LCLC,-3.059831
1025,Dactolisib,LCLC103H,-1.793363,LCLC,-1.025930
1026,Dasatinib,LCLC103H,0.467001,LCLC,1.056282
1027,Dinaciclib,LCLC103H,-2.354263,LCLC,-3.275303
1028,Docetaxel,LCLC103H,-3.660230,LCLC,-4.251653
1029,Doramapimod,LCLC103H,5.330930,LCLC,4.890776
1030,EHT-1864,LCLC103H,3.821895,LCLC,3.323978
1031,EPZ004777,LCLC103H,5.803890,LCLC,6.060620
1032,EPZ5676,LCLC103H,6.031464,LCLC,6.409542
1033,Entinostat,LCLC103H,2.341547,LCLC,0.752865
1034,Entospletinib,LCLC103H,3.886484,LCLC,3.083612
1035,Epirubicin,LCLC103H,-0.477350,LCLC,0.053469
1036,Erlotinib,LCLC103H,3.648285,LCLC,4.413024
1037,Fulvestrant,LCLC103H,3.806896,LCLC,4.951674
1038,GDC0810,LCLC103H,5.206656,LCLC,5.968666
1039,GSK1904529A,LCLC103H,4.758417,LCLC,5.079454
1040,GSK2578215A,LCLC103H,5.118348,LCLC,5.605770
1041,GSK2606414,LCLC103H,4.144566,LCLC,4.019736
1042,GSK343,LCLC103H,3.520201,LCLC,3.108135
1043,GW441756,LCLC103H,3.235847,LCLC,4.250891
1044,Gefitinib,LCLC103H,3.647593,LCLC,4.491917
1045,Gemcitabine,LCLC103H,2.210358,LCLC,1.758037
1046,I-BET-762,LCLC103H,3.706604,LCLC,3.210829
1047,I-BRD9,LCLC103H,4.779773,LCLC,5.199027
1048,IWP-2,LCLC103H,3.127421,LCLC,2.769787
1049,Ibrutinib,LCLC103H,5.128923,LCLC,6.110834
1050,Ipatasertib,LCLC103H,3.722513,LCLC,5.026590
1051,Irinotecan,LCLC103H,3.523275,LCLC,4.214159
1052,JNK Inhibitor VIII,LCLC103H,5.496994,LCLC,4.901178
1053,JQ1,LCLC103H,2.417768,LCLC,2.896763
1054,KRAS (G12C) Inhibitor-12,LCLC103H,5.039519,LCLC,5.943140
1055,KU-55933,LCLC103H,5.213420,LCLC,6.001970
1056,LCL161,LCLC103H,4.858851,LCLC,3.623594
1057,LGK974,LCLC103H,4.544081,LCLC,4.173085
1058,LY2109761,LCLC103H,5.220613,LCLC,6.124978
1059,Lapatinib,LCLC103H,3.430104,LCLC,4.352931
1060,Leflunomide,LCLC103H,5.234797,LCLC,4.983369
1061,Lenalidomide,LCLC103H,5.551654,LCLC,5.839713
1062,Lestaurtinib,LCLC103H,0.608531,LCLC,0.101827
1063,Linsitinib,LCLC103H,4.541428,LCLC,4.391826
1064,Luminespib,LCLC103H,-2.415414,LCLC,-1.418178
1065,MG-132,LCLC103H,-1.584855,LCLC,-1.275828
1066,MIRA-1,LCLC103H,5.568158,LCLC,5.541480
1067,MK-1775,LCLC103H,0.615345,LCLC,0.805127
1068,MK-2206,LCLC103H,3.208101,LCLC,3.101488
1069,ML323,LCLC103H,4.778633,LCLC,4.084270
1070,MN-64,LCLC103H,4.683193,LCLC,5.053803
1071,Mirin,LCLC103H,5.233825,LCLC,4.353589
1072,Motesanib,LCLC103H,5.891088,LCLC,6.124978
1073,NU7441,LCLC103H,3.272515,LCLC,3.345145
1074,NVP-ADW742,LCLC103H,2.968386,LCLC,2.355473
1075,Navitoclax,LCLC103H,2.804499,LCLC,3.379275
1076,Nilotinib,LCLC103H,4.041664,LCLC,4.322745
1077,Niraparib,LCLC103H,4.588399,LCLC,5.271363
1078,Nutlin-3a (-),LCLC103H,5.402264,LCLC,5.082635
1079,OF-1,LCLC103H,4.473434,LCLC,4.895246
1080,OSI-027,LCLC103H,2.362662,LCLC,1.887098
1081,OTX015,LCLC103H,2.480977,LCLC,2.516660
1082,Olaparib,LCLC103H,4.726956,LCLC,5.463800
1083,Osimertinib,LCLC103H,1.967945,LCLC,2.814507
1084,Oxaliplatin,LCLC103H,4.779189,LCLC,4.900844
1085,P22077,LCLC103H,4.827890,LCLC,5.270654
1086,PCI-34051,LCLC103H,4.442307,LCLC,4.435247
1087,PD173074,LCLC103H,4.091113,LCLC,4.157438
1088,PFI-1,LCLC103H,4.136340,LCLC,4.073757
1089,PFI3,LCLC103H,5.525673,LCLC,5.269007
1090,PLX-4720,LCLC103H,4.603001,LCLC,3.890579
1091,PRIMA-1MET,LCLC103H,4.460559,LCLC,2.905415
1092,PRT062607,LCLC103H,3.575322,LCLC,1.291154
1093,Paclitaxel,LCLC103H,-1.895707,LCLC,-3.122707
1094,Palbociclib,LCLC103H,3.967479,LCLC,4.342826
1095,Pevonedistat,LCLC103H,1.899251,LCLC,-0.550662
1096,Picolinici-acid,LCLC103H,5.457725,LCLC,5.467215
1097,Pictilisib,LCLC103H,1.429521,LCLC,1.758881
1098,RO-3306,LCLC103H,4.171749,LCLC,4.255100
1099,RVX-208,LCLC103H,5.016095,LCLC,4.036275
1100,Refametinib,LCLC103H,2.453300,LCLC,4.015877
1101,Ribociclib,LCLC103H,4.218567,LCLC,4.091497
1102,Rucaparib,LCLC103H,4.281662,LCLC,3.869635
1103,Ruxolitinib,LCLC103H,5.132660,LCLC,5.225687
1104,SB216763,LCLC103H,5.170568,LCLC,5.866680
1105,SB590885,LCLC103H,4.590004,LCLC,5.347047
1106,SGC0946,LCLC103H,2.289422,LCLC,2.493603
1107,SN-38,LCLC103H,-0.740560,LCLC,-1.662747
1108,Sabutoclax,LCLC103H,0.454696,LCLC,-0.091926
1109,Savolitinib,LCLC103H,2.620207,LCLC,2.941164
1110,Selumetinib,LCLC103H,4.678268,LCLC,6.102174
1111,Sepantronium bromide,LCLC103H,-5.192512,LCLC,-5.847720
1112,Serdemetan,LCLC103H,4.268431,LCLC,4.160790
1113,Sorafenib,LCLC103H,2.956831,LCLC,3.236249
1114,Staurosporine,LCLC103H,-3.206696,LCLC,-2.718291
1115,Talazoparib,LCLC103H,4.076452,LCLC,5.719098
1116,Tamoxifen,LCLC103H,3.920393,LCLC,4.649501
1117,Tanespimycin,LCLC103H,0.371162,LCLC,2.423509
1118,Taselisib,LCLC103H,2.547763,LCLC,1.984870
1119,Telomerase Inhibitor IX,LCLC103H,0.935123,LCLC,1.009238
1120,Temozolomide,LCLC103H,6.951005,LCLC,6.436093
1121,Trametinib,LCLC103H,0.464325,LCLC,3.440181
1122,Ulixertinib,LCLC103H,2.919684,LCLC,4.155254
1123,Uprosertib,LCLC103H,3.345351,LCLC,3.590841
1124,VE-822,LCLC103H,4.000736,LCLC,3.082514
1125,Veliparib,LCLC103H,5.580023,LCLC,5.920961
1126,Venetoclax,LCLC103H,3.191614,LCLC,4.676518
1127,Vismodegib,LCLC103H,5.023014,LCLC,5.247566
1128,Vorinostat,LCLC103H,1.952246,LCLC,1.676101
1129,WEHI-539,LCLC103H,4.159821,LCLC,3.848637
1130,WIKI4,LCLC103H,3.693047,LCLC,4.960031
1131,WZ4003,LCLC103H,4.091008,LCLC,2.932032
1132,Wnt-C59,LCLC103H,4.437394,LCLC,4.049014
1133,XAV939,LCLC103H,4.493925,LCLC,3.595348
1134,YK-4-279,LCLC103H,2.687367,LCLC,2.937490
1135,ZM447439,LCLC103H,3.321036,LCLC,2.442053
1136,5-Fluorouracil,EKVX,4.901758,LUAD,7.035487
1137,ABT737,EKVX,2.958770,LUAD,4.680390
1138,AGI-5198,EKVX,5.060719,LUAD,5.190785
1139,AGI-6780,EKVX,4.693335,LUAD,5.695669
1140,AGK2,EKVX,3.373879,LUAD,4.447545
1141,AZ960,EKVX,2.561770,LUAD,3.250550
1142,AZD3759,EKVX,1.464778,LUAD,1.432416
1143,AZD4547,EKVX,4.503675,LUAD,7.074616
1144,AZD5363,EKVX,2.758076,LUAD,3.612228
1145,AZD5582,EKVX,2.437119,LUAD,5.542313
1146,AZD6738,EKVX,2.405473,LUAD,4.347309
1147,AZD7762,EKVX,0.409167,LUAD,3.732259
1148,AZD8186,EKVX,2.686766,LUAD,2.956266
1149,Afatinib,EKVX,-0.608043,LUAD,0.370903
1150,Afuresertib,EKVX,2.340518,LUAD,3.431348
1151,Alpelisib,EKVX,3.247482,LUAD,5.395971
1152,Avagacestat,EKVX,5.461750,LUAD,6.414700
1153,Axitinib,EKVX,3.812443,LUAD,5.118055
1154,BMS-345541,EKVX,3.615951,LUAD,5.634617
1155,BMS-536924,EKVX,1.650944,LUAD,1.920805
1156,BMS-754807,EKVX,3.320188,LUAD,3.729686
1157,Bortezomib,EKVX,-4.548401,LUAD,-2.624682
1158,Bosutinib,EKVX,2.520678,LUAD,4.837976
1159,Buparlisib,EKVX,1.207320,LUAD,3.150341
1160,CCT007093,EKVX,5.432997,LUAD,6.993551
1161,CZC24832,EKVX,5.778755,LUAD,6.520330
1162,Camptothecin,EKVX,-1.146412,LUAD,1.035429
1163,Cediranib,EKVX,2.011858,LUAD,3.117877
1164,Crizotinib,EKVX,3.547065,LUAD,6.909652
1165,Cyclophosphamide,EKVX,5.746629,LUAD,6.777357
1166,Dactinomycin,EKVX,-3.405049,LUAD,-1.895872
1167,Dactolisib,EKVX,-2.461545,LUAD,-1.581812
1168,Dasatinib,EKVX,-1.189865,LUAD,2.916155
1169,Dinaciclib,EKVX,-2.836887,LUAD,-1.800525
1170,Docetaxel,EKVX,-2.839468,LUAD,0.853241
1171,Doramapimod,EKVX,5.834439,LUAD,5.994331
1172,EHT-1864,EKVX,3.914923,LUAD,3.357760
1173,EPZ004777,EKVX,6.179229,LUAD,6.660938
1174,EPZ5676,EKVX,6.435711,LUAD,7.304148
1175,Entinostat,EKVX,2.937188,LUAD,4.898786
1176,Entospletinib,EKVX,3.681909,LUAD,5.135713
1177,Epirubicin,EKVX,0.178988,LUAD,0.874931
1178,Erlotinib,EKVX,0.636531,LUAD,1.720419
1179,Fulvestrant,EKVX,4.132922,LUAD,4.604676
1180,GDC0810,EKVX,5.328234,LUAD,7.656902
1181,GSK1904529A,EKVX,4.565311,LUAD,5.906422
1182,GSK2578215A,EKVX,5.135525,LUAD,5.567204
1183,GSK2606414,EKVX,3.836130,LUAD,4.805422
1184,GSK343,EKVX,3.975333,LUAD,4.892913
1185,GW441756,EKVX,3.646245,LUAD,4.928902
1186,Gefitinib,EKVX,1.032884,LUAD,2.742369
1187,Gemcitabine,EKVX,1.197768,LUAD,3.900449
1188,I-BET-762,EKVX,4.139771,LUAD,5.189575
1189,I-BRD9,EKVX,4.964175,LUAD,6.199915
1190,IWP-2,EKVX,3.190667,LUAD,4.247755
1191,Ibrutinib,EKVX,1.132134,LUAD,2.433876
1192,Ipatasertib,EKVX,3.770859,LUAD,5.221461
1193,Irinotecan,EKVX,3.618140,LUAD,6.211456
1194,JNK Inhibitor VIII,EKVX,5.913038,LUAD,5.731645
1195,JQ1,EKVX,3.218444,LUAD,3.585674
1196,KRAS (G12C) Inhibitor-12,EKVX,5.318576,LUAD,6.034443
1197,KU-55933,EKVX,5.589175,LUAD,7.018330
1198,LCL161,EKVX,5.205040,LUAD,7.308719
1199,LGK974,EKVX,4.378485,LUAD,4.927386
1200,LY2109761,EKVX,5.717960,LUAD,6.428688
1201,Lapatinib,EKVX,1.297870,LUAD,2.011214
1202,Leflunomide,EKVX,5.099923,LUAD,5.055721
1203,Lenalidomide,EKVX,5.753261,LUAD,7.154397
1204,Lestaurtinib,EKVX,0.956405,LUAD,2.571961
1205,Linsitinib,EKVX,4.501468,LUAD,4.941322
1206,Luminespib,EKVX,-2.126441,LUAD,0.133692
1207,MG-132,EKVX,-1.261025,LUAD,-1.167539
1208,MIRA-1,EKVX,6.083222,LUAD,6.867445
1209,MK-1775,EKVX,0.684659,LUAD,4.687274
1210,MK-2206,EKVX,2.932210,LUAD,4.114742
1211,ML323,EKVX,4.641032,LUAD,4.125091
1212,MN-64,EKVX,4.962612,LUAD,5.131375
1213,Mirin,EKVX,5.559608,LUAD,6.257584
1214,Motesanib,EKVX,5.929254,LUAD,7.125942
1215,NU7441,EKVX,3.372318,LUAD,3.568632
1216,NVP-ADW742,EKVX,3.151015,LUAD,5.836703
1217,Navitoclax,EKVX,2.749375,LUAD,4.313946
1218,Nilotinib,EKVX,3.684433,LUAD,5.547136
1219,Niraparib,EKVX,5.137047,LUAD,6.482257
1220,Nutlin-3a (-),EKVX,6.112192,LUAD,6.272183
1221,OF-1,EKVX,4.895925,LUAD,2.964786
1222,OSI-027,EKVX,2.345065,LUAD,2.986808
1223,OTX015,EKVX,2.965337,LUAD,4.541015
1224,Olaparib,EKVX,5.169669,LUAD,7.354600
1225,Osimertinib,EKVX,-0.341834,LUAD,1.162483
1226,Oxaliplatin,EKVX,5.661498,LUAD,7.643888
1227,P22077,EKVX,5.244319,LUAD,6.942884
1228,PCI-34051,EKVX,5.009284,LUAD,6.225293
1229,PD173074,EKVX,4.734981,LUAD,5.243813
1230,PFI-1,EKVX,4.450592,LUAD,6.478392
1231,PFI3,EKVX,5.676588,LUAD,7.173972
1232,PLX-4720,EKVX,4.535074,LUAD,5.309123
1233,PRIMA-1MET,EKVX,5.358503,LUAD,7.225671
1234,PRT062607,EKVX,3.461073,LUAD,5.910175
1235,Paclitaxel,EKVX,-2.421828,LUAD,-0.095567
1236,Palbociclib,EKVX,4.221626,LUAD,5.783042
1237,Pevonedistat,EKVX,2.056482,LUAD,6.303620
1238,Picolinici-acid,EKVX,5.499882,LUAD,7.255022
1239,Pictilisib,EKVX,0.586107,LUAD,2.630865
1240,RO-3306,EKVX,4.416939,LUAD,5.681686
1241,RVX-208,EKVX,5.528849,LUAD,5.973704
1242,Refametinib,EKVX,1.735527,LUAD,1.848473
1243,Ribociclib,EKVX,4.053758,LUAD,5.594614
1244,Rucaparib,EKVX,4.666912,LUAD,5.199639
1245,Ruxolitinib,EKVX,5.517664,LUAD,4.923353
1246,SB216763,EKVX,5.546288,LUAD,6.104460
1247,SB590885,EKVX,4.862829,LUAD,6.956705
1248,SGC0946,EKVX,2.373875,LUAD,3.552400
1249,SN-38,EKVX,1.621544,LUAD,1.714642
1250,Sabutoclax,EKVX,-0.007250,LUAD,0.422776
1251,Savolitinib,EKVX,2.713914,LUAD,4.865915
1252,Selumetinib,EKVX,3.569402,LUAD,3.290326
1253,Sepantronium bromide,EKVX,-4.510888,LUAD,-6.961971
1254,Serdemetan,EKVX,4.478833,LUAD,5.974667
1255,Sorafenib,EKVX,2.914756,LUAD,3.157525
1256,Staurosporine,EKVX,-3.197144,LUAD,-2.484117
1257,Talazoparib,EKVX,4.451938,LUAD,4.419597
1258,Tamoxifen,EKVX,4.147310,LUAD,6.855883
1259,Tanespimycin,EKVX,-0.274065,LUAD,1.999424
1260,Taselisib,EKVX,1.320539,LUAD,2.725198
1261,Telomerase Inhibitor IX,EKVX,1.408037,LUAD,1.008409
1262,Temozolomide,EKVX,7.361847,LUAD,6.945658
1263,Trametinib,EKVX,-0.557669,LUAD,-0.701532
1264,Ulixertinib,EKVX,2.371716,LUAD,3.812530
1265,Uprosertib,EKVX,3.263472,LUAD,6.259259
1266,VE-822,EKVX,3.502165,LUAD,6.448961
1267,Veliparib,EKVX,5.719456,LUAD,7.123438
1268,Venetoclax,EKVX,3.406447,LUAD,3.654680
1269,Vismodegib,EKVX,5.425411,LUAD,5.024376
1270,Vorinostat,EKVX,2.448697,LUAD,3.852384
1271,WEHI-539,EKVX,4.419194,LUAD,6.530483
1272,WIKI4,EKVX,3.613385,LUAD,3.715731
1273,WZ4003,EKVX,4.689487,LUAD,5.912366
1274,Wnt-C59,EKVX,4.190149,LUAD,4.505418
1275,XAV939,EKVX,4.510654,LUAD,4.670513
1276,YK-4-279,EKVX,2.679469,LUAD,6.103949
1277,ZM447439,EKVX,3.240374,LUAD,4.180794
1278,5-Fluorouracil,NCIH1963,4.916737,SCLC,4.743407
1279,ABT737,NCIH1963,-0.490078,SCLC,-3.534010
1280,AGI-5198,NCIH1963,4.698273,SCLC,4.825264
1281,AGI-6780,NCIH1963,4.708594,SCLC,1.947016
1282,AGK2,NCIH1963,3.345045,SCLC,4.009250
1283,AZ960,NCIH1963,1.260126,SCLC,0.381402
1284,AZD3759,NCIH1963,2.757811,SCLC,2.744481
1285,AZD4547,NCIH1963,2.936637,SCLC,2.099782
1286,AZD5363,NCIH1963,4.053761,SCLC,4.609451
1287,AZD5582,NCIH1963,2.890704,SCLC,1.783644
1288,AZD6738,NCIH1963,2.452004,SCLC,1.951369
1289,AZD7762,NCIH1963,0.098701,SCLC,-0.118504
1290,AZD8186,NCIH1963,4.267721,SCLC,4.474092
1291,Afatinib,NCIH1963,1.824782,SCLC,1.406726
1292,Afuresertib,NCIH1963,3.594192,SCLC,3.532282
1293,Alpelisib,NCIH1963,3.783862,SCLC,4.201898
1294,Avagacestat,NCIH1963,5.069172,SCLC,3.978956
1295,Axitinib,NCIH1963,1.744246,SCLC,0.794604
1296,BMS-345541,NCIH1963,3.098368,SCLC,2.671328
1297,BMS-536924,NCIH1963,2.393319,SCLC,1.984544
1298,BMS-754807,NCIH1963,0.764377,SCLC,-0.033344
1299,Bortezomib,NCIH1963,-5.105824,SCLC,-5.102645
1300,Bosutinib,NCIH1963,3.254215,SCLC,2.854209
1301,Buparlisib,NCIH1963,1.371128,SCLC,1.075077
1302,CCT007093,NCIH1963,4.893938,SCLC,5.080772
1303,CZC24832,NCIH1963,5.368257,SCLC,4.485864
1304,Camptothecin,NCIH1963,-2.499820,SCLC,-3.298337
1305,Cediranib,NCIH1963,2.069043,SCLC,1.759478
1306,Crizotinib,NCIH1963,2.508181,SCLC,1.561486
1307,Cyclophosphamide,NCIH1963,5.406571,SCLC,3.209738
1308,Dactinomycin,NCIH1963,-3.163922,SCLC,-3.699174
1309,Dactolisib,NCIH1963,0.046498,SCLC,0.294068
1310,Dasatinib,NCIH1963,3.563090,SCLC,3.046486
1311,Dinaciclib,NCIH1963,-2.007861,SCLC,-2.973722
1312,Docetaxel,NCIH1963,-3.715388,SCLC,-4.879798
1313,Doramapimod,NCIH1963,5.052501,SCLC,4.492463
1314,EHT-1864,NCIH1963,3.392297,SCLC,2.271456
1315,EPZ004777,NCIH1963,5.027214,SCLC,5.109377
1316,EPZ5676,NCIH1963,5.672030,SCLC,5.337031
1317,Entinostat,NCIH1963,0.589918,SCLC,0.876109
1318,Entospletinib,NCIH1963,4.353155,SCLC,5.249451
1319,Epirubicin,NCIH1963,-0.358905,SCLC,0.251492
1320,Erlotinib,NCIH1963,3.777372,SCLC,2.415133
1321,Fulvestrant,NCIH1963,3.539039,SCLC,2.083202
1322,GDC0810,NCIH1963,5.039361,SCLC,3.951397
1323,GSK1904529A,NCIH1963,4.660947,SCLC,2.647411
1324,GSK2578215A,NCIH1963,5.190087,SCLC,3.884340
1325,GSK2606414,NCIH1963,4.281564,SCLC,3.818741
1326,GSK343,NCIH1963,3.969252,SCLC,2.909227
1327,GW441756,NCIH1963,3.412911,SCLC,2.219159
1328,Gefitinib,NCIH1963,3.581944,SCLC,2.742370
1329,Gemcitabine,NCIH1963,-0.544730,SCLC,-2.059215
1330,I-BET-762,NCIH1963,4.271164,SCLC,3.813051
1331,I-BRD9,NCIH1963,4.786493,SCLC,3.046340
1332,IWP-2,NCIH1963,2.755873,SCLC,1.837569
1333,Ibrutinib,NCIH1963,4.985706,SCLC,2.323098
1334,Ipatasertib,NCIH1963,4.297952,SCLC,4.348813
1335,Irinotecan,NCIH1963,1.294611,SCLC,2.472360
1336,JNK Inhibitor VIII,NCIH1963,5.055756,SCLC,5.180777
1337,JQ1,NCIH1963,2.425271,SCLC,1.164763
1338,KRAS (G12C) Inhibitor-12,NCIH1963,4.671252,SCLC,1.423314
1339,KU-55933,NCIH1963,5.103613,SCLC,4.117588
1340,LCL161,NCIH1963,4.870238,SCLC,5.196385
1341,LGK974,NCIH1963,4.315960,SCLC,2.712382
1342,LY2109761,NCIH1963,4.985280,SCLC,4.159941
1343,Lapatinib,NCIH1963,4.415205,SCLC,2.364759
1344,Leflunomide,NCIH1963,4.944274,SCLC,5.231254
1345,Lenalidomide,NCIH1963,5.048262,SCLC,5.357789
1346,Lestaurtinib,NCIH1963,0.246834,SCLC,-1.450103
1347,Linsitinib,NCIH1963,3.257137,SCLC,3.090690
1348,Luminespib,NCIH1963,-0.591615,SCLC,-3.297620
1349,MG-132,NCIH1963,-1.198638,SCLC,-1.004889
1350,MIRA-1,NCIH1963,5.070128,SCLC,5.389727
1351,MK-1775,NCIH1963,0.175788,SCLC,-0.339999
1352,MK-2206,NCIH1963,3.685733,SCLC,3.536190
1353,ML323,NCIH1963,4.655993,SCLC,2.672414
1354,MN-64,NCIH1963,4.871004,SCLC,2.865933
1355,Mirin,NCIH1963,4.384685,SCLC,6.590345
1356,Motesanib,NCIH1963,5.675537,SCLC,4.698238
