"",drug,cell_line,OncotreeCode,IC50,prediction,IC50_Z,prediction_Z
5056,Wee1 Inhibitor,KMRC20,CCRCC,1.777169,2.663071,-0.142168,0.433887
5057,AZD6482,KMS11,PCM,2.300938,1.990376,-0.789402,-1.013994
5058,Alpelisib,KMS11,PCM,0.002167,1.167521,-2.450864,-1.622742
5059,BI-2536,KMS11,PCM,-3.603272,-3.526164,-0.995364,-0.965909
5060,Fulvestrant,KMS11,PCM,3.022118,2.482596,-0.561103,-0.988194
5061,IOX2,KMS11,PCM,2.200902,1.694171,-0.163841,-0.747147
5062,JQ1,KMS11,PCM,-1.584205,-1.651468,-1.848793,-1.883242
5063,LGK974,KMS11,PCM,4.695986,4.161249,0.413269,-0.069508
5064,MK-8776,KMS11,PCM,2.130410,1.820454,-0.552766,-0.739886
5065,ML323,KMS11,PCM,3.621482,4.060793,-0.866455,-0.450284
5066,Nutlin-3a (-),KMS11,PCM,4.697191,4.321194,0.154153,-0.055755
5067,PFI-1,KMS11,PCM,1.954787,2.417419,-1.864545,-1.453727
5068,Piperlongumine,KMS11,PCM,0.795724,1.154489,-1.197470,-0.898720
5069,Refametinib,KMS11,PCM,2.969943,2.246622,0.363811,-0.013388
5070,SB505124,KMS11,PCM,4.365559,2.951880,0.464542,-0.465217
5071,Temsirolimus,KMS11,PCM,-1.196780,-0.043104,-1.319132,-0.638480
5072,Ulixertinib,KMS11,PCM,2.771186,2.612322,0.148942,0.043286
5073,AMG-319,KMS12BM,PCM,3.307141,3.638672,-1.265395,-0.984172
5074,AZD2014,KMS12BM,PCM,1.119570,0.684953,-0.701927,-1.001747
5075,Alisertib,KMS12BM,PCM,1.832080,-2.247447,0.106344,-1.676105
5076,Crizotinib,KMS12BM,PCM,0.900985,1.179683,-1.098684,-0.914190
5077,Doramapimod,KMS12BM,PCM,4.407258,4.045808,-0.447549,-0.751728
5078,GSK2110183B,KMS12BM,PCM,2.350525,1.900030,-0.610163,-0.899433
5079,GSK2801,KMS12BM,PCM,3.035366,3.542375,-2.190387,-1.621612
5080,ICL-SIRT078,KMS12BM,PCM,2.295222,3.046317,-1.440911,-0.899409
5081,Lenalidomide,KMS12BM,PCM,2.888357,3.704944,-2.191836,-1.429633
5082,MIM1,KMS12BM,PCM,1.618318,2.774624,-1.941958,-0.979144
5083,MK-2206,KMS12BM,PCM,-0.141349,0.869519,-1.926816,-1.247342
5084,Mycophenolic acid,KMS12BM,PCM,1.468760,1.391696,-0.212938,-0.263125
5085,NVP-ADW742,KMS12BM,PCM,0.692805,0.693810,-1.486796,-1.486114
5086,Paclitaxel,KMS12BM,PCM,-5.479312,-4.903814,-1.300938,-1.015573
5087,SCH772984,KMS12BM,PCM,3.379119,3.165805,0.480617,0.364380
5088,SN-38,KMS12BM,PCM,-4.642553,-0.560142,-0.687505,0.447394
5089,Taselisib,KMS12BM,PCM,-0.045976,-0.781835,-1.070188,-1.504538
5090,VE821,KMS12BM,PCM,2.611000,2.851540,-0.838448,-0.686568
5091,alpha-lipoic acid,KMS12BM,PCM,6.689806,6.387688,-0.997194,-1.308474
5092,AZ960,KNS42,GB,1.655414,2.520271,-0.139351,0.362277
5093,AZD3759,KNS42,GB,2.848250,3.125949,0.309872,0.565926
5094,Bicalutamide,KNS42,GB,4.840608,5.343751,0.173000,0.734798
5095,Bortezomib,KNS42,GB,-5.642944,-4.739303,-0.845991,-0.000193
5096,EPZ004777,KNS42,GB,6.163475,5.492051,1.033800,0.346595
5097,Erlotinib,KNS42,GB,4.302633,4.415765,0.912961,0.991045
5098,LJI308,KNS42,GB,6.379309,5.421112,1.299733,0.410941
5099,Lenalidomide,KNS42,GB,6.221786,5.983964,0.919592,0.697609
5100,Niraparib,KNS42,GB,5.619418,5.012046,0.993133,0.592495
5101,OF-1,KNS42,GB,4.033092,3.820271,-0.075464,-0.257354
5102,Oxaliplatin,KNS42,GB,3.653239,4.839506,-0.356843,0.308326
5103,PF-4708671,KNS42,GB,4.625635,4.064183,1.095018,0.491985
5104,Pevonedistat,KNS42,GB,3.113709,1.798699,1.044014,0.431728
5105,Savolitinib,KNS42,GB,4.093981,3.598314,1.136955,0.720586
5106,Selumetinib,KNS42,GB,6.200718,5.445494,1.415489,1.008375
5107,WEHI-539,KNS42,GB,5.870892,4.964787,1.276853,0.749140
5108,AZD3759,KNS62,LUSC,2.847442,2.984151,0.309128,0.435181
5109,AZD5153,KNS62,LUSC,2.415658,3.150479,0.461406,0.833461
5110,Avagacestat,KNS62,LUSC,5.623421,4.639285,0.806162,-0.111776
5111,Bleomycin (50 uM),KNS62,LUSC,5.065559,3.387459,0.789802,-0.016371
5112,Docetaxel,KNS62,LUSC,-0.845058,-2.427551,1.009221,0.388295
5113,GDC0810,KNS62,LUSC,4.528830,4.863789,-0.590708,-0.236453
5114,GSK2606414,KNS62,LUSC,4.047187,4.068905,0.215124,0.232985
5115,GSK2801,KNS62,LUSC,5.132465,4.921795,0.162192,-0.074143
5116,LMP744,KNS62,LUSC,0.727843,1.290540,0.458251,0.699643
5117,LY2109761,KNS62,LUSC,5.386171,5.099412,0.363800,0.088854
5118,Lapatinib,KNS62,LUSC,4.156527,3.240886,0.591700,0.013434
5119,PLX-4720,KNS62,LUSC,3.938030,4.119991,-0.186622,-0.063260
5120,Palbociclib,KNS62,LUSC,3.454845,4.082434,-0.010265,0.385027
5121,Serdemetan,KNS62,LUSC,4.909502,3.648478,0.907791,-0.080131
5122,Trametinib,KNS62,LUSC,-1.483568,-0.914087,-0.753388,-0.501168
5123,UNC0638,KNS62,LUSC,4.849851,4.647743,0.500545,0.358863
5124,VE-822,KNS62,LUSC,4.026545,3.299271,0.499526,0.093654
5125,VE821,KNS62,LUSC,4.998450,4.493879,0.669015,0.350423
5126,Wee1 Inhibitor,KNS62,LUSC,2.402255,2.654666,0.264293,0.428422
5127,AZ960,KON,OCSC,0.317904,0.963418,-0.915123,-0.540717
5128,AZD6738,KON,OCSC,-0.248657,0.660236,-1.577598,-0.955776
5129,Alpelisib,KON,OCSC,2.136593,1.989901,-0.934102,-1.038344
5130,BMS-345541,KON,OCSC,1.635505,2.154750,-1.243875,-0.850636
5131,BMS-536924,KON,OCSC,0.794529,1.702807,-0.951705,-0.294072
5132,BX795,KON,OCSC,2.333346,2.096953,-0.278720,-0.465143
5133,Cediranib,KON,OCSC,1.342804,2.005246,-0.778552,-0.222988
5134,Dactinomycin,KON,OCSC,-6.727277,-6.059713,-1.569083,-1.214550
5135,EPZ004777,KON,OCSC,4.950222,4.579784,-0.207970,-0.587115
5136,Fulvestrant,KON,OCSC,2.796313,2.906535,-0.739852,-0.652599
5137,GSK2578215A,KON,OCSC,4.833657,4.118931,-0.103710,-0.843494
5138,Gemcitabine,KON,OCSC,-2.700807,-2.054226,-0.642422,-0.427648
5139,IWP-2,KON,OCSC,2.794918,2.477392,-0.084313,-0.438320
5140,OTX015,KON,OCSC,0.209366,0.895580,-1.119580,-0.752209
5141,Oxaliplatin,KON,OCSC,3.845899,3.435537,-0.248814,-0.478913
5142,Serdemetan,KON,OCSC,2.834849,3.008622,-0.717551,-0.581413
5143,AMG-319,KOPN8,BLL,3.709329,3.375937,-0.924237,-1.207038
5144,AZ6102,KOPN8,BLL,1.548762,1.899757,-0.993033,-0.682103
5145,AZD5153,KOPN8,BLL,-1.536674,-1.512406,-1.539741,-1.527454
5146,AZD7762,KOPN8,BLL,-1.683397,-1.341962,-1.197771,-0.976452
5147,Afatinib,KOPN8,BLL,0.682004,0.806784,-0.616238,-0.531985
5148,Dactolisib,KOPN8,BLL,-2.461456,-2.090004,-0.664947,-0.405152
5149,Doramapimod,KOPN8,BLL,4.827621,4.318322,-0.093790,-0.522393
5150,Entinostat,KOPN8,BLL,-0.214763,0.372158,-1.371416,-1.012893
5151,GW441756,KOPN8,BLL,3.002021,2.567706,-0.473006,-0.940746
5152,Ibrutinib,KOPN8,BLL,4.848496,3.516979,0.437206,-0.297332
5153,LY2109761,KOPN8,BLL,4.850095,4.195318,-0.150192,-0.777995
5154,Lestaurtinib,KOPN8,BLL,-2.399073,-1.838447,-1.474326,-1.127640
5155,POMHEX,KOPN8,BLL,-0.514512,-0.165416,-1.433177,-1.160087
5156,Schweinfurthin A,KOPN8,BLL,-1.672302,-1.845238,-1.183658,-1.257542
5157,UNC0638,KOPN8,BLL,1.656931,2.142452,-1.737768,-1.397406
5158,Vinblastine,KOPN8,BLL,-5.926708,-5.816074,-1.117242,-1.066440
5159,Vincristine,KOPN8,BLL,-4.123135,-4.694690,-0.956910,-1.175107
5160,Vismodegib,KOPN8,BLL,3.773049,3.572927,-1.198405,-1.402193
5161,alpha-lipoic acid,KOPN8,BLL,7.343301,6.209088,-0.323880,-1.492490
5162,5-Fluorouracil,KOSC2,OCSC,2.143034,2.840992,-1.307854,-0.902008
5163,Dabrafenib,KOSC2,OCSC,3.872885,3.919755,-0.207029,-0.181750
5164,GDC0810,KOSC2,OCSC,5.120102,4.997512,0.034626,-0.095026
5165,GSK591,KOSC2,OCSC,1.940050,2.576602,-2.010663,-1.484974
5166,Gemcitabine,KOSC2,OCSC,-1.690280,-2.532064,-0.306757,-0.586371
5167,ML323,KOSC2,OCSC,4.029936,4.196463,-0.479516,-0.321759
5168,Nilotinib,KOSC2,OCSC,3.023259,3.527143,-0.199799,0.095495
5169,OTX015,KOSC2,OCSC,0.289703,-0.133803,-1.076572,-1.303299
5170,PCI-34051,KOSC2,OCSC,3.331997,3.931124,-0.827293,-0.361464
5171,PFI-1,KOSC2,OCSC,3.145973,3.686791,-0.806769,-0.326521
5172,Sepantronium bromide,KOSC2,OCSC,-3.722665,-4.887336,0.274569,-0.440846
5173,Serdemetan,KOSC2,OCSC,3.229022,3.306575,-0.408745,-0.347988
5174,VE-822,KOSC2,OCSC,1.625293,2.493582,-0.840550,-0.355981
5175,VE821,KOSC2,OCSC,2.807712,2.742158,-0.714242,-0.755633
5176,Vorinostat,KOSC2,OCSC,1.209213,1.190492,-0.255196,-0.272362
5177,XAV939,KOSC2,OCSC,4.654166,3.034341,0.368941,-1.264988
5178,A-366,KP2,PAAD,5.843131,5.537910,0.938638,0.642220
5179,AZD1208,KP2,PAAD,6.477377,6.137216,1.216000,0.882241
5180,Dacarbazine,KP2,PAAD,5.517067,6.029552,-0.088067,0.454162
5181,Dihydrorotenone,KP2,PAAD,0.275288,0.630286,-0.323178,-0.098179
5182,Erlotinib,KP2,PAAD,5.732639,3.227367,1.899951,0.170812
5183,GSK2606414,KP2,PAAD,5.117854,5.052695,1.095628,1.042042
5184,Ibrutinib,KP2,PAAD,5.414003,6.314505,0.749171,1.245938
5185,KU-55933,KP2,PAAD,6.481528,6.063536,1.278463,0.907489
5186,MIRA-1,KP2,PAAD,6.703458,6.433254,1.187440,0.968553
5187,MN-64,KP2,PAAD,5.717759,5.878723,1.007971,1.163333
5188,Nilotinib,KP2,PAAD,5.216995,5.024054,1.085806,0.972736
5189,Picolinici-acid,KP2,PAAD,6.070268,5.803538,0.993697,0.662984
5190,RO-3306,KP2,PAAD,6.817901,5.224484,2.045600,1.060887
5191,Telomerase Inhibitor IX,KP2,PAAD,2.910983,2.476830,1.829666,1.477601
5192,UNC0379,KP2,PAAD,5.820994,4.579148,1.600844,0.744132
5193,UNC0638,KP2,PAAD,5.370665,5.391494,0.865648,0.880250
5194,VX-11e,KP2,PAAD,3.610963,3.231790,0.638450,0.369997
5195,WIKI4,KP2,PAAD,4.231178,4.343074,0.516614,0.632975
5196,XAV939,KP2,PAAD,4.661860,5.456739,0.376702,1.178502
5197,A-366,KP3,PAASC,5.783318,4.806841,0.880551,-0.067765
5198,AGK2,KP3,PAASC,3.523841,3.407207,0.279827,0.153975
5199,AMG-319,KP3,PAASC,4.700890,5.041325,-0.083143,0.205632
5200,AZD3759,KP3,PAASC,2.356407,2.681867,-0.143633,0.156459
5201,AZD4547,KP3,PAASC,3.750100,3.576393,0.413569,0.305019
5202,Bleomycin,KP3,PAASC,3.771587,5.059431,0.786577,1.684375
5203,Dabrafenib,KP3,PAASC,5.436915,4.957295,0.636524,0.377843
5204,Dasatinib,KP3,PAASC,1.915622,1.160770,0.270381,-0.054416
5205,Doramapimod,KP3,PAASC,5.777637,5.147715,0.705699,0.175586
5206,Fulvestrant,KP3,PAASC,3.832148,3.781279,0.080126,0.039858
5207,GDC0810,KP3,PAASC,4.408471,4.941435,-0.718001,-0.154334
5208,MK-8776,KP3,PAASC,4.542122,3.782096,0.903175,0.444350
5209,Navitoclax,KP3,PAASC,1.886462,2.367351,0.054279,0.291244
5210,Olaparib,KP3,PAASC,5.189645,4.752015,0.737455,0.401269
5211,Ribociclib,KP3,PAASC,4.428705,4.117571,0.629635,0.375270
5212,Sabutoclax,KP3,PAASC,0.588462,1.058966,0.738238,1.108840
5213,Sepantronium bromide,KP3,PAASC,-1.346636,-3.584828,1.734076,0.359237
5214,Sorafenib,KP3,PAASC,5.412029,3.018687,2.358763,0.389560
5215,Teniposide,KP3,PAASC,3.897114,3.527523,1.727609,1.541204
5216,AGK2,KP4,PAAD,2.706154,2.977647,-0.602485,-0.309535
5217,AZD8186,KP4,PAAD,3.352155,4.245285,0.154816,0.790844
5218,Acetalax,KP4,PAAD,4.703027,4.844881,-0.032448,0.036690
5219,Afuresertib,KP4,PAAD,3.302212,3.139998,0.611287,0.501068
5220,BMS-536924,KP4,PAAD,3.172316,2.335971,0.769917,0.164367
5221,Epirubicin,KP4,PAAD,-1.758327,-2.355294,-0.535721,-0.888759
5222,Fulvestrant,KP4,PAAD,3.512329,3.453906,-0.173046,-0.219294
5223,I-BET-762,KP4,PAAD,4.105564,3.972107,0.586253,0.501884
5224,KRAS (G12C) Inhibitor-12,KP4,PAAD,3.010705,4.189301,-0.937456,-0.169291
5225,MK-8776,KP4,PAAD,4.501416,3.482159,0.878601,0.263279
5226,N-acetyl cysteine,KP4,PAAD,8.551763,9.682318,-1.653317,-0.358092
5227,Navitoclax,KP4,PAAD,3.079826,2.679895,0.642325,0.445254
5228,PLX-4720,KP4,PAAD,4.441535,4.444824,0.154733,0.156962
5229,Podophyllotoxin bromide,KP4,PAAD,-1.872044,-1.683476,-0.917942,-0.796413
5230,Ribociclib,KP4,PAAD,3.748752,3.082147,0.073747,-0.471230
5231,Ruxolitinib,KP4,PAAD,5.419638,4.543740,0.535017,-0.218509
5232,SB216763,KP4,PAAD,5.133279,4.967536,-0.045597,-0.205133
5233,Sapitinib,KP4,PAAD,4.958277,4.590177,0.683277,0.477356
5234,Uprosertib,KP4,PAAD,3.851385,3.799297,0.578328,0.547820
5235,AZD6482,KPNRTBM1,NBL,4.197519,3.582530,0.582167,0.137419
5236,AZD6738,KPNRTBM1,NBL,2.172264,1.266979,0.078681,-0.540672
5237,CHIR-99021,KPNRTBM1,NBL,5.134326,4.105314,0.337800,-0.358108
5238,Daporinad,KPNRTBM1,NBL,-5.854718,-5.255847,-0.897834,-0.684364
5239,EHT-1864,KPNRTBM1,NBL,4.108220,3.623062,0.437229,-0.056105
5240,GNE-317,KPNRTBM1,NBL,2.130932,2.094324,1.112913,1.084798
5241,Gemcitabine,KPNRTBM1,NBL,0.028833,-0.747947,0.264278,0.006256
5242,Irinotecan,KPNRTBM1,NBL,-0.032440,0.159698,-1.304315,-1.204983
5243,KU-55933,KPNRTBM1,NBL,5.343227,5.128528,0.268205,0.077656
5244,Lapatinib,KPNRTBM1,NBL,0.961398,3.602783,-1.426159,0.241987
5245,OSI-027,KPNRTBM1,NBL,5.491439,2.733135,1.945655,0.099238
5246,Ribociclib,KPNRTBM1,NBL,2.527220,3.789588,-0.924905,0.107131
5247,Rucaparib,KPNRTBM1,NBL,4.301229,3.713292,0.295731,-0.257657
5248,Staurosporine,KPNRTBM1,NBL,-2.854405,-2.572896,-0.043586,0.159723
5249,Wee1 Inhibitor,KPNRTBM1,NBL,0.964423,0.860612,-0.670652,-0.738155
5250,YK-4-279,KPNRTBM1,NBL,2.062235,2.055651,-0.112016,-0.116002
5251,AZD1208,KPNYN,NBL,5.219061,5.352872,-0.018637,0.112656
5252,Bleomycin (50 uM),KPNYN,NBL,3.648255,3.185760,0.108918,-0.113269
5253,Dabrafenib,KPNYN,NBL,5.789521,5.190271,0.826700,0.503497
5254,Dactinomycin,KPNYN,NBL,-0.634400,-3.309878,1.666749,0.245844
5255,EHT-1864,KPNYN,NBL,3.811779,4.064552,0.135793,0.392824
5256,Foretinib,KPNYN,NBL,0.890474,0.990666,-0.014050,0.059498
5257,GSK1904529A,KPNYN,NBL,5.692228,4.959126,1.216982,0.552968
5258,I-BRD9,KPNYN,NBL,3.907072,5.148813,-0.354113,0.620547
5259,LMP744,KPNYN,NBL,0.288164,2.507115,0.269633,1.221542
5260,MG-132,KPNYN,NBL,-1.376121,-1.048587,-0.127086,0.326242
5261,Oxaliplatin,KPNYN,NBL,4.676171,4.120893,0.216740,-0.094618
5262,Pyridostatin,KPNYN,NBL,2.633701,3.765669,-0.721003,0.149957
5263,Refametinib,KPNYN,NBL,2.712927,3.062714,0.229782,0.412190
5264,Topotecan,KPNYN,NBL,0.554255,0.551505,0.221321,0.219905
5265,Ulixertinib,KPNYN,NBL,3.786677,3.311475,0.824318,0.508274
5266,XAV939,KPNYN,NBL,4.165715,5.035232,-0.123763,0.753325
5267,YK-4-279,KPNYN,NBL,2.715992,2.580194,0.283837,0.201610
5268,ZM447439,KPNYN,NBL,2.201060,2.175593,-0.220287,-0.235215
5269,AZ960,KS1,GB,0.623755,1.264030,-0.737726,-0.366358
5270,Bleomycin (50 uM),KS1,GB,3.589940,1.910903,0.080903,-0.725721
5271,Bortezomib,KS1,GB,-4.511879,-4.302926,0.212674,0.408251
5272,Dabrafenib,KS1,GB,5.825268,5.533882,0.845980,0.688822
5273,Daporinad,KS1,GB,-2.002195,-4.482588,0.475412,-0.408733
5274,Dinaciclib,KS1,GB,-3.393934,-2.802326,-0.501895,-0.100358
5275,EPZ5676,KS1,GB,6.087223,6.072468,0.529091,0.514747
5276,GSK-LSD1,KS1,GB,2.930964,2.501479,0.322878,-0.164610
5277,GSK2578215A,KS1,GB,5.853215,5.292053,0.951593,0.370757
5278,Gallibiscoquinazole,KS1,GB,3.369574,3.063343,0.732807,0.393504
5279,Lapatinib,KS1,GB,5.692976,4.043166,1.562033,0.520108
5280,OF-1,KS1,GB,3.465351,5.125356,-0.560691,0.858053
5281,PLX-4720,KS1,GB,5.928413,5.335163,1.162771,0.760573
5282,PRT062607,KS1,GB,2.855333,2.747069,-0.226886,-0.304404
5283,RO-3306,KS1,GB,6.072083,4.057757,1.584693,0.339864
5284,Refametinib,KS1,GB,2.463505,0.878168,0.099713,-0.727013
5285,Selumetinib,KS1,GB,3.731321,2.648954,0.084327,-0.499138
5286,Topotecan,KS1,GB,1.437513,1.252825,0.676002,0.580929
5287,Zoledronate,KS1,GB,3.549968,4.647454,-0.350282,0.837629
5288,5-azacytidine,KU1919,BLCA,2.448073,1.922594,-0.388368,-0.766189
5289,AZ960,KU1919,BLCA,0.752579,1.725903,-0.663007,-0.098466
5290,AZD5363,KU1919,BLCA,2.872611,3.462090,0.017193,0.426015
5291,Afatinib,KU1919,BLCA,1.884883,1.953508,0.195960,0.242297
5292,Alpelisib,KU1919,BLCA,4.967026,3.215399,1.077254,-0.167483
5293,Bromosporine,KU1919,BLCA,0.343035,1.315612,-1.644122,-0.869241
5294,GNE-317,KU1919,BLCA,0.061052,0.490483,-0.476776,-0.146969
5295,GSK-LSD1,KU1919,BLCA,1.637546,2.503398,-1.145218,-0.162432
5296,Luminespib,KU1919,BLCA,-3.858940,-4.061320,-0.954600,-1.065948
5297,MG-132,KU1919,BLCA,-1.005768,-1.506937,0.385507,-0.308144
5298,MIRA-1,KU1919,BLCA,5.286985,5.688976,0.039980,0.365626
5299,Motesanib,KU1919,BLCA,5.311472,5.441971,-0.149816,-0.034687
5300,PCI-34051,KU1919,BLCA,3.908662,3.662403,-0.378928,-0.570398
5301,PFI3,KU1919,BLCA,4.786136,5.018707,-0.726403,-0.449927
5302,Remodelin,KU1919,BLCA,5.078032,5.006595,0.225559,0.163859
5303,SCH772984,KU1919,BLCA,-1.774273,-1.123410,-2.327525,-1.972862
5304,Savolitinib,KU1919,BLCA,2.694876,3.017992,-0.038316,0.233107
5305,Sepantronium bromide,KU1919,BLCA,-3.798194,-5.168289,0.228174,-0.613425
5306,Tanespimycin,KU1919,BLCA,-1.179798,-1.341508,-0.692026,-0.793879
5307,AGI-5198,KU812,CML,4.280853,4.046213,-0.466349,-0.724881
5308,AT13148,KU812,CML,0.516843,2.074881,-1.872443,-0.906995
5309,Acetalax,KU812,CML,4.508638,4.831363,-0.127190,0.030101
5310,BMS-754807,KU812,CML,1.888124,0.775361,-0.137708,-0.694717
5311,GSK-LSD1,KU812,CML,-1.072452,1.884483,-4.221207,-0.864932
5312,JQ1,KU812,CML,-0.992744,-1.125794,-1.545871,-1.614013
5313,KU-55933,KU812,CML,3.400145,3.801212,-1.456309,-1.100357
5314,MK-8776,KU812,CML,1.852163,0.531413,-0.720743,-1.518074
5315,Navitoclax,KU812,CML,1.361226,0.992808,-0.204538,-0.386080
5316,Nilotinib,KU812,CML,-6.456847,-6.172181,-5.755465,-5.588641
5317,PCI-34051,KU812,CML,3.549486,3.310417,-0.658192,-0.844072
5318,PD173074,KU812,CML,2.106636,3.091002,-1.178744,-0.478349
5319,Pevonedistat,KU812,CML,-0.430658,-0.639327,-0.606289,-0.703448
5320,Ruxolitinib,KU812,CML,3.612197,2.986082,-1.019907,-1.558548
5321,SGC-CBP30,KU812,CML,3.256995,3.420825,-1.097761,-0.912401
5322,Sepantronium bromide,KU812,CML,-3.581516,-3.805285,0.361272,0.223818
5323,Serdemetan,KU812,CML,2.635843,1.860897,-0.873458,-1.480573
5324,UMI-77,KU812,CML,4.090654,1.867985,0.853114,-0.808558
5325,VE-822,KU812,CML,0.778192,1.217255,-1.313296,-1.068266
5326,AZD1208,KURAMOCHI,HGSOC,6.432104,6.420071,1.171580,1.159773
5327,AZD1332,KURAMOCHI,HGSOC,5.650567,5.449909,1.229911,1.099221
5328,AZD4547,KURAMOCHI,HGSOC,4.873848,3.997554,1.115801,0.568203
5329,AZD5153,KURAMOCHI,HGSOC,0.961381,1.071424,-0.274925,-0.219207
5330,CCT007093,KURAMOCHI,HGSOC,6.130897,6.152420,1.089468,1.114424
5331,Dabrafenib,KURAMOCHI,HGSOC,6.598871,6.250342,1.263219,1.075242
5332,Dacarbazine,KURAMOCHI,HGSOC,5.439376,6.040310,-0.170267,0.465544
5333,Dasatinib,KURAMOCHI,HGSOC,-0.909137,0.939859,-0.945054,-0.149469
5334,Fulvestrant,KURAMOCHI,HGSOC,4.795935,4.448244,0.843070,0.567834
5335,Gemcitabine,KURAMOCHI,HGSOC,5.374846,4.853700,2.040055,1.866947
5336,IWP-2,KURAMOCHI,HGSOC,3.460481,3.391604,0.657716,0.580925
5337,LCL161,KURAMOCHI,HGSOC,5.572468,5.054592,0.650462,0.232311
5338,LGK974,KURAMOCHI,HGSOC,4.728538,4.300713,0.442657,0.056404
5339,Luminespib,KURAMOCHI,HGSOC,0.209230,0.319502,1.283676,1.344347
5340,MG-132,KURAMOCHI,HGSOC,-0.874625,-0.967634,0.567017,0.438286
5341,Obatoclax Mesylate,KURAMOCHI,HGSOC,-0.603252,1.925095,-0.999890,1.260956
5342,SGC0946,KURAMOCHI,HGSOC,2.698042,2.468070,0.743486,0.455505
5343,Serdemetan,KURAMOCHI,HGSOC,4.698686,4.834259,0.742631,0.848843
5344,Teniposide,KURAMOCHI,HGSOC,2.120239,3.211557,0.831435,1.381846
5345,Dabrafenib,KYM1,ERMS,4.549289,3.706037,0.157787,-0.297018
5346,Docetaxel,KYM1,ERMS,-5.810904,-5.899730,-0.939238,-0.974091
5347,Elephantin,KYM1,ERMS,2.154824,2.005966,-0.986672,-1.089111
5348,Epirubicin,KYM1,ERMS,-3.143476,-3.007597,-1.354879,-1.274522
5349,GSK2110183B,KYM1,ERMS,3.139706,3.546184,-0.103419,0.157586
5350,GSK2801,KYM1,ERMS,4.148281,4.087786,-0.941890,-1.009755
5351,ICL-SIRT078,KYM1,ERMS,2.824122,2.831344,-1.059601,-1.054394
5352,LGK974,KYM1,ERMS,3.062716,3.363742,-1.061296,-0.789521
5353,MIM1,KYM1,ERMS,3.480282,2.478804,-0.391568,-1.225463
5354,MIRA-1,KYM1,ERMS,5.319844,4.760110,0.066599,-0.386832
5355,Methotrexate,KYM1,ERMS,-2.918060,0.923800,-1.312537,0.229413
5356,Podophyllotoxin bromide,KYM1,ERMS,-1.469167,-1.807167,-0.658295,-0.876130
5357,SGC-CBP30,KYM1,ERMS,2.723654,3.530219,-1.701194,-0.788630
5358,Serdemetan,KYM1,ERMS,2.989976,2.798127,-0.596020,-0.746320
5359,UNC0379,KYM1,ERMS,1.845933,1.738442,-1.141429,-1.215583
5360,VE821,KYM1,ERMS,2.636442,2.469071,-0.822384,-0.928063
5361,Venetoclax,KYM1,ERMS,1.761628,1.979024,-0.295247,-0.190488
5362,Vincristine,KYM1,ERMS,-4.041843,-4.755058,-0.925876,-1.198153
5363,WZ4003,KYM1,ERMS,2.055494,4.312914,-1.528625,0.112928
5364,AZD5582,KYSE140,ESCC,-2.954788,2.045237,-2.182828,-0.047973
5365,AZD5991,KYSE140,ESCC,3.712400,3.882438,-0.014037,0.046597
5366,BI-2536,KYSE140,ESCC,0.729195,-1.049147,0.659616,-0.019701
5367,Entinostat,KYSE140,ESCC,2.270163,1.729789,0.146511,-0.183579
5368,Fulvestrant,KYSE140,ESCC,3.247354,3.547463,-0.382803,-0.145234
5369,GSK343,KYSE140,ESCC,2.715298,3.403481,-0.648680,-0.145297
5370,LY2109761,KYSE140,ESCC,4.311600,4.792246,-0.666504,-0.205658
5371,Leflunomide,KYSE140,ESCC,3.874713,4.962996,-1.272768,-0.081323
5372,OF-1,KYSE140,ESCC,4.942308,4.354020,0.701608,0.198821
5373,Olaparib,KYSE140,ESCC,5.100292,4.839293,0.668814,0.468316
5374,PLX-4720,KYSE140,ESCC,3.153277,3.599056,-0.718650,-0.416431
5375,Pyridostatin,KYSE140,ESCC,2.295586,2.695911,-0.981156,-0.673138
5376,SCH772984,KYSE140,ESCC,1.610142,1.855013,-0.483318,-0.349885
5377,Temozolomide,KYSE140,ESCC,6.960390,6.619656,0.534138,0.272653
5378,VE-822,KYSE140,ESCC,1.177702,0.603605,-1.090339,-1.410728
5379,Venetoclax,KYSE140,ESCC,2.919553,2.974148,0.262734,0.289042
5380,Vinorelbine,KYSE140,ESCC,-0.446007,-2.748036,1.211721,0.119962
5381,WEHI-539,KYSE140,ESCC,3.688045,4.242942,0.005568,0.328739
5382,Wee1 Inhibitor,KYSE140,ESCC,1.018784,0.994899,-0.635304,-0.650835
5383,AGI-5198,KYSE150,ESCC,3.748925,4.768168,-1.052442,0.070589
5384,AMG-319,KYSE150,ESCC,5.546626,4.867907,0.634254,0.058529
5385,Crizotinib,KYSE150,ESCC,1.445077,2.160107,-0.738502,-0.265162
5386,GSK2830371,KYSE150,ESCC,5.646956,5.126451,0.190760,-0.251797
5387,Ipatasertib,KYSE150,ESCC,2.489627,3.118255,-0.628209,-0.196273
5388,Lenalidomide,KYSE150,ESCC,5.616954,5.076831,0.355041,-0.149111
5389,NU7441,KYSE150,ESCC,2.425644,2.516556,-0.526175,-0.458521
5390,Nutlin-3a (-),KYSE150,ESCC,5.338818,4.994596,0.512353,0.320185
5391,PD0325901,KYSE150,ESCC,1.136732,0.910845,-0.096985,-0.202276
5392,Rapamycin,KYSE150,ESCC,-2.664424,-3.133791,-0.455839,-0.734641
5393,Sorafenib,KYSE150,ESCC,2.118318,1.972943,-0.351249,-0.470861
