drug,cell_line,IC50,OncotreeCode
Alpelisib,MDAMB468,4.445925,BRCA
Avagacestat,MDAMB468,2.915166,BRCA
Axitinib,MDAMB468,0.869783,BRCA
BIBR-1532,MDAMB468,3.920088,BRCA
BMS-345541,MDAMB468,2.389385,BRCA
BMS-536924,MDAMB468,2.423418,BRCA
BMS-754807,MDAMB468,0.55621,BRCA
Bleomycin,MDAMB468,1.624781,BRCA
Bleomycin (50 uM),MDAMB468,3.307147,BRCA
Bortezomib,MDAMB468,-6.172591,BRCA
Bosutinib,MDAMB468,2.258203,BRCA
Bromosporine,MDAMB468,2.677358,BRCA
Buparlisib,MDAMB468,1.183355,BRCA
CCT007093,MDAMB468,4.105146,BRCA
CPI-637,MDAMB468,5.615297,BRCA
CZC24832,MDAMB468,4.362004,BRCA
Camptothecin,MDAMB468,-2.5123,BRCA
Carmustine,MDAMB468,4.915773,BRCA
Cediranib,MDAMB468,1.889387,BRCA
Cisplatin,MDAMB468,1.330439,BRCA
Crizotinib,MDAMB468,1.601858,BRCA
Cyclophosphamide,MDAMB468,4.565867,BRCA
Cytarabine,MDAMB468,3.81016,BRCA
Dabrafenib,MDAMB468,3.433971,BRCA
Dacarbazine,MDAMB468,4.12271,BRCA
Dactinomycin,MDAMB468,-4.528055,BRCA
Dactolisib,MDAMB468,-2.320341,BRCA
Daporinad,MDAMB468,-4.333292,BRCA
Dasatinib,MDAMB468,1.645656,BRCA
Dihydrorotenone,MDAMB468,-2.692126,BRCA
Dinaciclib,MDAMB468,-4.297832,BRCA
Docetaxel,MDAMB468,-5.567595,BRCA
Doramapimod,MDAMB468,5.529116,BRCA
EHT-1864,MDAMB468,2.920939,BRCA
EPZ004777,MDAMB468,5.039005,BRCA
EPZ5676,MDAMB468,5.982475,BRCA
Elephantin,MDAMB468,1.778037,BRCA
Entinostat,MDAMB468,2.144651,BRCA
Entospletinib,MDAMB468,2.947741,BRCA
Epirubicin,MDAMB468,-1.147019,BRCA
Erlotinib,MDAMB468,1.94229,BRCA
Fludarabine,MDAMB468,6.102841,BRCA
Foretinib,MDAMB468,0.925976,BRCA
Fulvestrant,MDAMB468,2.836792,BRCA
GDC0810,MDAMB468,5.219465,BRCA
GNE-317,MDAMB468,0.489299,BRCA
GSK-LSD1,MDAMB468,2.776653,BRCA
GSK1904529A,MDAMB468,2.791503,BRCA
GSK2110183B,MDAMB468,3.103979,BRCA
GSK2578215A,MDAMB468,4.719031,BRCA
GSK2606414,MDAMB468,2.615525,BRCA
GSK269962A,MDAMB468,1.897532,BRCA
GSK2801,MDAMB468,4.207676,BRCA
GSK2830371,MDAMB468,5.48862,BRCA
GSK343,MDAMB468,4.223247,BRCA
GSK591,MDAMB468,3.417418,BRCA
GW441756,MDAMB468,2.53662,BRCA
Gallibiscoquinazole,MDAMB468,2.193002,BRCA
Gefitinib,MDAMB468,1.829364,BRCA
Gemcitabine,MDAMB468,-1.799548,BRCA
I-BET-762,MDAMB468,4.185,BRCA
I-BRD9,MDAMB468,4.07593,BRCA
ICL-SIRT078,MDAMB468,3.939674,BRCA
IWP-2,MDAMB468,2.468947,BRCA
Ibrutinib,MDAMB468,1.526638,BRCA
Ipatasertib,MDAMB468,2.922738,BRCA
Irinotecan,MDAMB468,1.982506,BRCA
JNK Inhibitor VIII,MDAMB468,5.311682,BRCA
JQ1,MDAMB468,3.736514,BRCA
KRAS (G12C) Inhibitor-12,MDAMB468,4.650592,BRCA
KU-55933,MDAMB468,4.136783,BRCA
L-Oxonoreleagnine,MDAMB468,3.541437,BRCA
LCL161,MDAMB468,4.682152,BRCA
LGK974,MDAMB468,2.527928,BRCA
LJI308,MDAMB468,4.963999,BRCA
LMP744,MDAMB468,-1.242743,BRCA
LY2109761,MDAMB468,5.472204,BRCA
Lapatinib,MDAMB468,1.309193,BRCA
Leflunomide,MDAMB468,3.396727,BRCA
Lenalidomide,MDAMB468,5.130242,BRCA
Lestaurtinib,MDAMB468,-1.149074,BRCA
Linsitinib,MDAMB468,3.492461,BRCA
Luminespib,MDAMB468,-2.80646,BRCA
MG-132,MDAMB468,-1.908119,BRCA
MIM1,MDAMB468,3.376074,BRCA
MIRA-1,MDAMB468,5.797643,BRCA
MK-1775,MDAMB468,0.973653,BRCA
MK-2206,MDAMB468,2.757151,BRCA
MK-8776,MDAMB468,3.820361,BRCA
ML323,MDAMB468,2.946164,BRCA
MN-64,MDAMB468,3.207893,BRCA
Methotrexate,MDAMB468,3.145589,BRCA
Mirin,MDAMB468,3.00471,BRCA
Mitoxantrone,MDAMB468,-0.718335,BRCA
Motesanib,MDAMB468,5.615297,BRCA
Mycophenolic acid,MDAMB468,1.545288,BRCA
N-acetyl cysteine,MDAMB468,10.100207,BRCA
NU7441,MDAMB468,2.067367,BRCA
NVP-ADW742,MDAMB468,4.417919,BRCA
Navitoclax,MDAMB468,1.287956,BRCA
Nelarabine,MDAMB468,4.952815,BRCA
Nilotinib,MDAMB468,1.777913,BRCA
Niraparib,MDAMB468,4.186433,BRCA
Nutlin-3a (-),MDAMB468,4.823182,BRCA
OF-1,MDAMB468,1.810532,BRCA
OSI-027,MDAMB468,1.17044,BRCA
OTX015,MDAMB468,2.253205,BRCA
Obatoclax Mesylate,MDAMB468,-0.124739,BRCA
Olaparib,MDAMB468,3.507195,BRCA
Osimertinib,MDAMB468,0.676755,BRCA
Oxaliplatin,MDAMB468,3.326914,BRCA
P22077,MDAMB468,3.563125,BRCA
PCI-34051,MDAMB468,2.531563,BRCA
PD0325901,MDAMB468,1.359186,BRCA
PD173074,MDAMB468,5.26411,BRCA
PF-4708671,MDAMB468,2.517654,BRCA
PFI-1,MDAMB468,4.122952,BRCA
PFI3,MDAMB468,5.314714,BRCA
PLX-4720,MDAMB468,3.271617,BRCA
POMHEX,MDAMB468,2.00313,BRCA
PRIMA-1MET,MDAMB468,2.56655,BRCA
PRT062607,MDAMB468,2.781815,BRCA
Paclitaxel,MDAMB468,-4.075334,BRCA
Palbociclib,MDAMB468,4.581065,BRCA
Pevonedistat,MDAMB468,0.280314,BRCA
Picolinici-acid,MDAMB468,5.336652,BRCA
Pictilisib,MDAMB468,1.300054,BRCA
Podophyllotoxin bromide,MDAMB468,-1.896763,BRCA
Pyridostatin,MDAMB468,3.133957,BRCA
RO-3306,MDAMB468,1.669412,BRCA
RVX-208,MDAMB468,4.477472,BRCA
Rapamycin,MDAMB468,-3.931955,BRCA
Refametinib,MDAMB468,2.390507,BRCA
Ribociclib,MDAMB468,5.067362,BRCA
Romidepsin,MDAMB468,-5.831855,BRCA
Rucaparib,MDAMB468,3.831679,BRCA
Ruxolitinib,MDAMB468,5.50595,BRCA
SB216763,MDAMB468,4.534968,BRCA
SB590885,MDAMB468,4.884154,BRCA
SCH772984,MDAMB468,2.966063,BRCA
SGC-CBP30,MDAMB468,4.01722,BRCA
SGC0946,MDAMB468,2.535784,BRCA
SN-38,MDAMB468,-4.767292,BRCA
Sabutoclax,MDAMB468,-0.894475,BRCA
Sapitinib,MDAMB468,1.142936,BRCA
Savolitinib,MDAMB468,3.224276,BRCA
Schweinfurthin A,MDAMB468,-0.27816,BRCA
Selumetinib,MDAMB468,3.938653,BRCA
Sepantronium bromide,MDAMB468,-5.986109,BRCA
Serdemetan,MDAMB468,3.8674,BRCA
Sinularin,MDAMB468,0.570102,BRCA
Sorafenib,MDAMB468,1.53632,BRCA
Staurosporine,MDAMB468,-3.723929,BRCA
TW 37,MDAMB468,0.984672,BRCA
Talazoparib,MDAMB468,3.297187,BRCA
Tamoxifen,MDAMB468,3.451562,BRCA
Tanespimycin,MDAMB468,1.035586,BRCA
Taselisib,MDAMB468,2.219297,BRCA
Telomerase Inhibitor IX,MDAMB468,0.373721,BRCA
Temozolomide,MDAMB468,6.21462,BRCA
Temsirolimus,MDAMB468,0.430171,BRCA
Teniposide,MDAMB468,-0.283723,BRCA
Topotecan,MDAMB468,-1.74403,BRCA
Tozasertib,MDAMB468,1.127242,BRCA
Trametinib,MDAMB468,0.38473,BRCA
UMI-77,MDAMB468,1.823737,BRCA
UNC0379,MDAMB468,2.871544,BRCA
UNC0638,MDAMB468,4.415863,BRCA
Ulixertinib,MDAMB468,0.742824,BRCA
Uprosertib,MDAMB468,2.939631,BRCA
VE-822,MDAMB468,2.469223,BRCA
VE821,MDAMB468,5.012761,BRCA
VX-11e,MDAMB468,2.879246,BRCA
Veliparib,MDAMB468,4.916083,BRCA
Venetoclax,MDAMB468,2.173607,BRCA
Vinblastine,MDAMB468,-4.322447,BRCA
Vincristine,MDAMB468,-4.706051,BRCA
Vinorelbine,MDAMB468,-2.591453,BRCA
Vismodegib,MDAMB468,4.416467,BRCA
Vorinostat,MDAMB468,1.639962,BRCA
WEHI-539,MDAMB468,1.529829,BRCA
WIKI4,MDAMB468,3.854451,BRCA
WZ4003,MDAMB468,4.929352,BRCA
Wee1 Inhibitor,MDAMB468,1.739433,BRCA
Wnt-C59,MDAMB468,2.539316,BRCA
XAV939,MDAMB468,4.701792,BRCA
YK-4-279,MDAMB468,1.682029,BRCA
ZM447439,MDAMB468,1.107297,BRCA
Zoledronate,MDAMB468,4.005859,BRCA
alpha-lipoic acid,MDAMB468,6.119435,BRCA
glutathione,MDAMB468,8.857838,BRCA
5-Fluorouracil,CAL51,3.331156,BRCA
5-azacytidine,CAL51,2.425282,BRCA
A-366,CAL51,5.374287,BRCA
ABT737,CAL51,3.239719,BRCA
AGI-5198,CAL51,4.796622,BRCA
AGI-6780,CAL51,3.641885,BRCA
AGK2,CAL51,2.481417,BRCA
AMG-319,CAL51,5.563844,BRCA
AT13148,CAL51,2.550356,BRCA
AZ6102,CAL51,1.911812,BRCA
AZ960,CAL51,0.319958,BRCA
AZD1208,CAL51,5.678482,BRCA
AZD1332,CAL51,2.739048,BRCA
AZD2014,CAL51,1.570071,BRCA
AZD3759,CAL51,2.801807,BRCA
AZD4547,CAL51,1.409388,BRCA
AZD5153,CAL51,1.894047,BRCA
AZD5363,CAL51,1.434295,BRCA
AZD5438,CAL51,1.534518,BRCA
AZD5582,CAL51,4.172712,BRCA
AZD5991,CAL51,4.361342,BRCA
AZD6482,CAL51,5.499826,BRCA
AZD6738,CAL51,0.172913,BRCA
AZD7762,CAL51,-0.754856,BRCA
AZD8055,CAL51,0.858992,BRCA
AZD8186,CAL51,3.36497,BRCA
Acetalax,CAL51,5.479546,BRCA
Afatinib,CAL51,2.470401,BRCA
Afuresertib,CAL51,0.561353,BRCA
Alisertib,CAL51,2.248543,BRCA
Alpelisib,CAL51,3.250185,BRCA
Avagacestat,CAL51,4.81763,BRCA
Axitinib,CAL51,2.510996,BRCA
BI-2536,CAL51,-3.491209,BRCA
BIBR-1532,CAL51,4.636949,BRCA
BMS-345541,CAL51,2.074379,BRCA
BMS-536924,CAL51,1.293417,BRCA
BMS-754807,CAL51,1.342492,BRCA
Bleomycin,CAL51,0.167858,BRCA
Bleomycin (50 uM),CAL51,1.33647,BRCA
Bortezomib,CAL51,-5.228162,BRCA
Bosutinib,CAL51,2.801885,BRCA
Bromosporine,CAL51,2.840944,BRCA
Buparlisib,CAL51,0.165017,BRCA
CCT007093,CAL51,5.349151,BRCA
CPI-637,CAL51,5.46593,BRCA
CZC24832,CAL51,5.203263,BRCA
Camptothecin,CAL51,-3.289953,BRCA
Carmustine,CAL51,6.484035,BRCA
Cediranib,CAL51,1.468938,BRCA
Cisplatin,CAL51,1.89644,BRCA
Crizotinib,CAL51,2.829236,BRCA
Cyclophosphamide,CAL51,4.916237,BRCA
Cytarabine,CAL51,-1.08314,BRCA
Dabrafenib,CAL51,3.826044,BRCA
Dacarbazine,CAL51,4.906374,BRCA
Dactinomycin,CAL51,-4.529973,BRCA
Dactolisib,CAL51,-3.1305,BRCA
Dasatinib,CAL51,1.537235,BRCA
Dihydrorotenone,CAL51,-0.30232,BRCA
Dinaciclib,CAL51,-3.639969,BRCA
Docetaxel,CAL51,-4.493983,BRCA
Doramapimod,CAL51,6.135816,BRCA
EHT-1864,CAL51,3.58728,BRCA
EPZ004777,CAL51,4.17055,BRCA
EPZ5676,CAL51,5.210098,BRCA
Elephantin,CAL51,3.014366,BRCA
Entinostat,CAL51,1.902296,BRCA
Entospletinib,CAL51,3.950737,BRCA
Epirubicin,CAL51,-2.675094,BRCA
Erlotinib,CAL51,2.809589,BRCA
Fludarabine,CAL51,3.189504,BRCA
Foretinib,CAL51,1.186447,BRCA
Fulvestrant,CAL51,3.399859,BRCA
GDC0810,CAL51,5.235507,BRCA
GNE-317,CAL51,-0.928459,BRCA
GSK-LSD1,CAL51,2.868722,BRCA
GSK1904529A,CAL51,4.141685,BRCA
GSK2110183B,CAL51,2.020599,BRCA
GSK2578215A,CAL51,4.917624,BRCA
GSK2606414,CAL51,4.243373,BRCA
GSK269962A,CAL51,2.691075,BRCA
GSK2801,CAL51,4.934256,BRCA
GSK2830371,CAL51,5.699252,BRCA
GSK343,CAL51,4.290257,BRCA
GSK591,CAL51,3.611608,BRCA
GW441756,CAL51,2.633245,BRCA
Gallibiscoquinazole,CAL51,2.373245,BRCA
Gefitinib,CAL51,3.12172,BRCA
Gemcitabine,CAL51,-3.846409,BRCA
I-BET-762,CAL51,5.619746,BRCA
I-BRD9,CAL51,4.459828,BRCA
ICL-SIRT078,CAL51,4.800125,BRCA
IWP-2,CAL51,3.348255,BRCA
Ibrutinib,CAL51,5.532918,BRCA
Ipatasertib,CAL51,1.365588,BRCA
Irinotecan,CAL51,1.631636,BRCA
JNK Inhibitor VIII,CAL51,5.450176,BRCA
JQ1,CAL51,3.516782,BRCA
KRAS (G12C) Inhibitor-12,CAL51,3.223095,BRCA
KU-55933,CAL51,5.431398,BRCA
L-Oxonoreleagnine,CAL51,3.980429,BRCA
LCL161,CAL51,3.794016,BRCA
LGK974,CAL51,3.637377,BRCA
LJI308,CAL51,4.830404,BRCA
LMP744,CAL51,-0.875616,BRCA
LY2109761,CAL51,5.508153,BRCA
Lapatinib,CAL51,2.453123,BRCA
Leflunomide,CAL51,4.816966,BRCA
Lenalidomide,CAL51,5.413539,BRCA
Lestaurtinib,CAL51,-0.097674,BRCA
Linsitinib,CAL51,4.57406,BRCA
Luminespib,CAL51,-4.80304,BRCA
MG-132,CAL51,-1.454588,BRCA
MIM1,CAL51,3.293348,BRCA
MIRA-1,CAL51,5.718838,BRCA
MK-1775,CAL51,0.059224,BRCA
MK-2206,CAL51,2.686041,BRCA
MK-8776,CAL51,2.979211,BRCA
ML323,CAL51,4.243504,BRCA
MN-64,CAL51,5.096268,BRCA
Methotrexate,CAL51,-1.397573,BRCA
Mirin,CAL51,4.337107,BRCA
Mitoxantrone,CAL51,-2.426895,BRCA
Motesanib,CAL51,5.656823,BRCA
Mycophenolic acid,CAL51,-0.157779,BRCA
N-acetyl cysteine,CAL51,9.91977,BRCA
NU7441,CAL51,2.983279,BRCA
NVP-ADW742,CAL51,3.916369,BRCA
Navitoclax,CAL51,1.637512,BRCA
Nelarabine,CAL51,6.005126,BRCA
Nilotinib,CAL51,1.555479,BRCA
Niraparib,CAL51,3.048884,BRCA
Nutlin-3a (-),CAL51,2.672275,BRCA
OF-1,CAL51,3.585672,BRCA
OSI-027,CAL51,2.566938,BRCA
OTX015,CAL51,3.746196,BRCA
Obatoclax Mesylate,CAL51,-0.214466,BRCA
Olaparib,CAL51,3.460923,BRCA
Osimertinib,CAL51,1.685721,BRCA
Oxaliplatin,CAL51,3.361623,BRCA
P22077,CAL51,2.498481,BRCA
PCI-34051,CAL51,3.040227,BRCA
PD0325901,CAL51,1.806115,BRCA
PD173074,CAL51,3.868291,BRCA
PF-4708671,CAL51,3.342845,BRCA
PFI-1,CAL51,4.129536,BRCA
PFI3,CAL51,5.08914,BRCA
PLX-4720,CAL51,4.883781,BRCA
POMHEX,CAL51,1.133191,BRCA
PRIMA-1MET,CAL51,3.28706,BRCA
PRT062607,CAL51,3.401089,BRCA
Paclitaxel,CAL51,-1.411946,BRCA
Palbociclib,CAL51,2.849002,BRCA
Pevonedistat,CAL51,-0.700234,BRCA
Picolinici-acid,CAL51,5.326573,BRCA
Pictilisib,CAL51,0.943466,BRCA
Podophyllotoxin bromide,CAL51,-1.250741,BRCA
Pyridostatin,CAL51,3.639836,BRCA
RO-3306,CAL51,2.507624,BRCA
RVX-208,CAL51,5.347052,BRCA
Rapamycin,CAL51,-3.788856,BRCA
Refametinib,CAL51,3.364723,BRCA
Remodelin,CAL51,4.089826,BRCA
Ribociclib,CAL51,5.509773,BRCA
Romidepsin,CAL51,-4.966195,BRCA
Rucaparib,CAL51,4.485449,BRCA
Ruxolitinib,CAL51,4.993802,BRCA
SB216763,CAL51,6.305553,BRCA
SB590885,CAL51,4.99175,BRCA
SCH772984,CAL51,2.781805,BRCA
SGC-CBP30,CAL51,3.914585,BRCA
SGC0946,CAL51,1.900984,BRCA
SN-38,CAL51,-4.259021,BRCA
Sabutoclax,CAL51,-2.367249,BRCA
Sapitinib,CAL51,4.063065,BRCA
Savolitinib,CAL51,1.87465,BRCA
Schweinfurthin A,CAL51,2.489665,BRCA
Selumetinib,CAL51,4.121684,BRCA
Sepantronium bromide,CAL51,-6.178377,BRCA
Serdemetan,CAL51,4.291459,BRCA
Sinularin,CAL51,3.269277,BRCA
Sorafenib,CAL51,1.174138,BRCA
Staurosporine,CAL51,-3.328978,BRCA
Talazoparib,CAL51,-0.245265,BRCA
Tamoxifen,CAL51,3.778935,BRCA
Tanespimycin,CAL51,-2.107723,BRCA
Taselisib,CAL51,0.443192,BRCA
Telomerase Inhibitor IX,CAL51,-0.306011,BRCA
Temozolomide,CAL51,6.937409,BRCA
Temsirolimus,CAL51,0.57889,BRCA
Teniposide,CAL51,-1.751841,BRCA
Topotecan,CAL51,-1.072196,BRCA
Tozasertib,CAL51,1.573662,BRCA
Trametinib,CAL51,0.354674,BRCA
UMI-77,CAL51,1.394469,BRCA
UNC0379,CAL51,3.933968,BRCA
UNC0638,CAL51,5.006105,BRCA
Ulixertinib,CAL51,2.294011,BRCA
Uprosertib,CAL51,1.933313,BRCA
VE-822,CAL51,0.055688,BRCA
VE821,CAL51,2.103295,BRCA
VX-11e,CAL51,2.495939,BRCA
Veliparib,CAL51,5.421839,BRCA
Venetoclax,CAL51,2.450443,BRCA
Vinblastine,CAL51,-5.009373,BRCA
Vincristine,CAL51,-3.186344,BRCA
Vinorelbine,CAL51,-4.522145,BRCA
Vismodegib,CAL51,5.241204,BRCA
Vorinostat,CAL51,1.290278,BRCA
WEHI-539,CAL51,3.321161,BRCA
WIKI4,CAL51,2.482659,BRCA
WZ4003,CAL51,5.431789,BRCA
Wee1 Inhibitor,CAL51,0.702918,BRCA
Wnt-C59,CAL51,3.845577,BRCA
XAV939,CAL51,3.941861,BRCA
YK-4-279,CAL51,1.122552,BRCA
ZM447439,CAL51,3.788488,BRCA
Zoledronate,CAL51,4.01682,BRCA
alpha-lipoic acid,CAL51,7.18855,BRCA
glutathione,CAL51,8.365322,BRCA
5-Fluorouracil,CAL851,5.059341,IDC
5-azacytidine,CAL851,3.295548,IDC
A-366,CAL851,4.995476,IDC
ABT737,CAL851,3.856027,IDC
AGI-5198,CAL851,5.721445,IDC
AGI-6780,CAL851,4.005251,IDC
AGK2,CAL851,3.334684,IDC
AMG-319,CAL851,5.772005,IDC
AT13148,CAL851,5.811987,IDC
AZ6102,CAL851,3.626337,IDC
AZ960,CAL851,2.672109,IDC
AZD1208,CAL851,5.240993,IDC
AZD1332,CAL851,4.006612,IDC
AZD2014,CAL851,0.770729,IDC
AZD3759,CAL851,3.583832,IDC
AZD4547,CAL851,4.407063,IDC
AZD5153,CAL851,0.934096,IDC
AZD5363,CAL851,5.280575,IDC
AZD5438,CAL851,1.761474,IDC
AZD5582,CAL851,-1.96458,IDC
AZD5991,CAL851,5.813129,IDC
AZD6482,CAL851,4.178459,IDC
AZD6738,CAL851,2.02522,IDC
AZD7762,CAL851,0.055398,IDC
AZD8055,CAL851,-0.287404,IDC
AZD8186,CAL851,3.819773,IDC
Acetalax,CAL851,5.205264,IDC
Afatinib,CAL851,2.505799,IDC
Afuresertib,CAL851,2.888776,IDC
Alisertib,CAL851,4.051394,IDC
Alpelisib,CAL851,3.116063,IDC
Avagacestat,CAL851,4.095168,IDC
Axitinib,CAL851,3.980123,IDC
BI-2536,CAL851,-0.103663,IDC
BIBR-1532,CAL851,5.558766,IDC
BMS-345541,CAL851,4.62461,IDC
BMS-536924,CAL851,1.252626,IDC
BMS-754807,CAL851,3.111198,IDC
Bleomycin,CAL851,2.542963,IDC
Bleomycin (50 uM),CAL851,4.929634,IDC
Bortezomib,CAL851,-5.658172,IDC
Bosutinib,CAL851,1.971874,IDC
Bromosporine,CAL851,1.75232,IDC
Buparlisib,CAL851,1.346741,IDC
CCT007093,CAL851,5.809374,IDC
CPI-637,CAL851,4.805149,IDC
CZC24832,CAL851,4.888401,IDC
Camptothecin,CAL851,-1.153179,IDC
Carmustine,CAL851,6.644038,IDC
Cediranib,CAL851,2.271788,IDC
Cisplatin,CAL851,4.587561,IDC
Crizotinib,CAL851,2.248915,IDC
Cyclophosphamide,CAL851,5.505573,IDC
Cytarabine,CAL851,2.910643,IDC
Dabrafenib,CAL851,5.350349,IDC
Dacarbazine,CAL851,5.238135,IDC
Dactinomycin,CAL851,-2.912365,IDC
Dactolisib,CAL851,-1.731076,IDC
Daporinad,CAL851,-4.547087,IDC
Dasatinib,CAL851,0.885436,IDC
Dihydrorotenone,CAL851,3.096086,IDC
Dinaciclib,CAL851,-3.16239,IDC
Docetaxel,CAL851,-3.241164,IDC
Doramapimod,CAL851,5.813129,IDC
EHT-1864,CAL851,3.191515,IDC
EPZ004777,CAL851,6.16572,IDC
EPZ5676,CAL851,6.09798,IDC
Elephantin,CAL851,3.339153,IDC
Entinostat,CAL851,2.026138,IDC
Entospletinib,CAL851,3.163118,IDC
Epirubicin,CAL851,0.665735,IDC
Erlotinib,CAL851,4.086184,IDC
Fludarabine,CAL851,4.08596,IDC
Foretinib,CAL851,1.291895,IDC
Fulvestrant,CAL851,4.592353,IDC
GDC0810,CAL851,4.484916,IDC
GNE-317,CAL851,0.254426,IDC
GSK-LSD1,CAL851,2.962099,IDC
GSK1904529A,CAL851,5.837021,IDC
GSK2110183B,CAL851,1.722816,IDC
GSK2578215A,CAL851,5.696861,IDC
GSK2606414,CAL851,4.053054,IDC
GSK269962A,CAL851,3.587303,IDC
GSK2801,CAL851,4.968597,IDC
GSK2830371,CAL851,5.813129,IDC
GSK343,CAL851,4.216643,IDC
GSK591,CAL851,5.242821,IDC
GW441756,CAL851,3.647644,IDC
Gallibiscoquinazole,CAL851,2.972953,IDC
Gefitinib,CAL851,3.833117,IDC
Gemcitabine,CAL851,1.481972,IDC
I-BET-762,CAL851,2.096662,IDC
I-BRD9,CAL851,5.60528,IDC
ICL-SIRT078,CAL851,4.883877,IDC
IWP-2,CAL851,3.463267,IDC
Ibrutinib,CAL851,3.072371,IDC
Ipatasertib,CAL851,3.433578,IDC
Irinotecan,CAL851,4.226496,IDC
JNK Inhibitor VIII,CAL851,5.173617,IDC
JQ1,CAL851,2.237398,IDC
KRAS (G12C) Inhibitor-12,CAL851,3.439446,IDC
KU-55933,CAL851,4.550068,IDC
L-Oxonoreleagnine,CAL851,4.089279,IDC
LCL161,CAL851,4.762851,IDC
LGK974,CAL851,3.701866,IDC
LJI308,CAL851,5.690034,IDC
LMP744,CAL851,-0.9842,IDC
LY2109761,CAL851,5.375288,IDC
Lapatinib,CAL851,3.01822,IDC
Leflunomide,CAL851,4.57198,IDC
Lenalidomide,CAL851,5.627533,IDC
Lestaurtinib,CAL851,1.069007,IDC
Linsitinib,CAL851,3.58961,IDC
Luminespib,CAL851,-3.279247,IDC
MG-132,CAL851,-1.494319,IDC
MIM1,CAL851,4.158584,IDC
MIRA-1,CAL851,5.321065,IDC
MK-1775,CAL851,1.410748,IDC
MK-2206,CAL851,4.387535,IDC
MK-8776,CAL851,5.072278,IDC
ML323,CAL851,4.803861,IDC
MN-64,CAL851,4.293983,IDC
Methotrexate,CAL851,2.163811,IDC
Mirin,CAL851,4.229425,IDC
Mitoxantrone,CAL851,2.191291,IDC
Motesanib,CAL851,5.813129,IDC
Mycophenolic acid,CAL851,2.176122,IDC
N-acetyl cysteine,CAL851,9.551849,IDC
NU7441,CAL851,2.52006,IDC
NVP-ADW742,CAL851,2.855239,IDC
Navitoclax,CAL851,2.139607,IDC
Nelarabine,CAL851,6.344535,IDC
Nilotinib,CAL851,3.205087,IDC
Niraparib,CAL851,5.448373,IDC
Nutlin-3a (-),CAL851,5.99082,IDC
OF-1,CAL851,4.794622,IDC
OSI-027,CAL851,0.967566,IDC
OTX015,CAL851,0.756419,IDC
Obatoclax Mesylate,CAL851,0.913537,IDC
Olaparib,CAL851,4.616855,IDC
Osimertinib,CAL851,3.441572,IDC
Oxaliplatin,CAL851,4.310579,IDC
P22077,CAL851,5.206188,IDC
PCI-34051,CAL851,3.4966,IDC
PD0325901,CAL851,-0.163217,IDC
PD173074,CAL851,5.182665,IDC
PF-4708671,CAL851,3.595549,IDC
PFI-1,CAL851,3.794854,IDC
PFI3,CAL851,4.018315,IDC
PLX-4720,CAL851,4.777936,IDC
POMHEX,CAL851,3.000355,IDC
PRIMA-1MET,CAL851,4.436178,IDC
PRT062607,CAL851,2.108159,IDC
Paclitaxel,CAL851,-3.56063,IDC
Palbociclib,CAL851,3.719399,IDC
Pevonedistat,CAL851,1.498087,IDC
Picolinici-acid,CAL851,5.791357,IDC
Pictilisib,CAL851,1.193386,IDC
Podophyllotoxin bromide,CAL851,0.32509,IDC
Pyridostatin,CAL851,4.807977,IDC
RO-3306,CAL851,4.128914,IDC
RVX-208,CAL851,3.774809,IDC
Rapamycin,CAL851,-0.158051,IDC
Refametinib,CAL851,0.510832,IDC
Ribociclib,CAL851,5.338436,IDC
Romidepsin,CAL851,-5.921218,IDC
Rucaparib,CAL851,3.221152,IDC
Ruxolitinib,CAL851,5.408189,IDC
SB216763,CAL851,5.349576,IDC
SB590885,CAL851,5.119957,IDC
SCH772984,CAL851,1.828364,IDC
SGC-CBP30,CAL851,4.413466,IDC
SGC0946,CAL851,1.929964,IDC
SN-38,CAL851,3.415056,IDC
Sabutoclax,CAL851,-0.132219,IDC
Sapitinib,CAL851,2.784072,IDC
Savolitinib,CAL851,3.039026,IDC
Schweinfurthin A,CAL851,2.171715,IDC
Selumetinib,CAL851,2.612793,IDC
Sepantronium bromide,CAL851,-3.573233,IDC
Serdemetan,CAL851,3.93166,IDC
Sinularin,CAL851,4.34717,IDC
Sorafenib,CAL851,3.120101,IDC
Staurosporine,CAL851,-2.735928,IDC
TW 37,CAL851,1.286287,IDC
Talazoparib,CAL851,5.524188,IDC
Tamoxifen,CAL851,4.030633,IDC
Tanespimycin,CAL851,-0.782747,IDC
Taselisib,CAL851,0.936408,IDC
Telomerase Inhibitor IX,CAL851,0.444468,IDC
Temozolomide,CAL851,6.812148,IDC
Temsirolimus,CAL851,-0.701853,IDC
Teniposide,CAL851,0.858176,IDC
Topotecan,CAL851,0.892618,IDC
Tozasertib,CAL851,5.207473,IDC
Trametinib,CAL851,-0.555633,IDC
UMI-77,CAL851,1.980534,IDC
UNC0379,CAL851,4.743962,IDC
UNC0638,CAL851,3.67794,IDC
Ulixertinib,CAL851,1.51673,IDC
Uprosertib,CAL851,4.657102,IDC
VE-822,CAL851,2.695401,IDC
VE821,CAL851,5.392603,IDC
VX-11e,CAL851,2.989772,IDC
Veliparib,CAL851,5.063166,IDC
Venetoclax,CAL851,3.700942,IDC
Vinblastine,CAL851,-1.902487,IDC
Vincristine,CAL851,0.87094,IDC
Vinorelbine,CAL851,-0.231509,IDC
Vismodegib,CAL851,4.568214,IDC
