,drug,cell_line,OncotreeCode,IC50,Drug_Name,IC50_mean,IC50_std,Z-Score
580,AZD8186,NCIH146,SCLC,5.082524,AZD8186,3.134757,1.404232,0.592282
581,Afatinib,NCIH146,SCLC,1.078987,Afatinib,1.594663,1.481016,0.276796
582,Afuresertib,NCIH146,SCLC,3.442519,Afuresertib,2.40255,1.471751,-0.084111
583,Alpelisib,NCIH146,SCLC,3.622992,Alpelisib,3.451086,1.407226,0.057755
584,Avagacestat,NCIH146,SCLC,3.572423,Avagacestat,4.759122,1.072116,0.121765
585,Axitinib,NCIH146,SCLC,2.424052,Axitinib,2.903591,1.677112,-1.141457
586,BMS-345541,NCIH146,SCLC,2.03284,BMS-345541,3.277956,1.320431,-0.17745
587,BMS-536924,NCIH146,SCLC,3.871981,BMS-536924,2.108959,1.381132,0.733241
588,BMS-754807,NCIH146,SCLC,3.873944,BMS-754807,2.163231,1.99775,-0.628402
589,Bortezomib,NCIH146,SCLC,-4.924829,Bortezomib,-4.739097,1.068388,-0.114624
590,Bosutinib,NCIH146,SCLC,3.075422,Bosutinib,2.618644,1.532012,0.424373
591,Buparlisib,NCIH146,SCLC,1.764563,Buparlisib,1.132283,0.942456,0.059298
592,CCT007093,NCIH146,SCLC,4.947767,CCT007093,5.191327,0.862412,-0.241048
593,CZC24832,NCIH146,SCLC,5.846322,CZC24832,5.137594,0.949818,0.233573
594,Camptothecin,NCIH146,SCLC,-2.960427,Camptothecin,-2.257481,1.838996,0.201319
595,Cediranib,NCIH146,SCLC,1.825081,Cediranib,2.271131,1.192376,-0.035634
596,Crizotinib,NCIH146,SCLC,3.10733,Crizotinib,2.560661,1.510603,-0.707062
597,Cyclophosphamide,NCIH146,SCLC,5.331158,Cyclophosphamide,5.25922,0.888712,-0.024789
598,Dactinomycin,NCIH146,SCLC,-4.176434,Dactinomycin,-3.772788,1.88294,0.276484
599,Dactolisib,NCIH146,SCLC,-2.148024,Dactolisib,-1.510724,1.429786,0.36974
600,Dasatinib,NCIH146,SCLC,3.237857,Dasatinib,1.287237,2.324073,0.921241
601,Dinaciclib,NCIH146,SCLC,-3.76297,Dinaciclib,-2.654463,1.473357,-0.258036
602,Docetaxel,NCIH146,SCLC,-2.909871,Docetaxel,-3.417161,2.548602,-0.396464
603,Doramapimod,NCIH146,SCLC,2.533555,Doramapimod,4.93907,1.188278,0.092373
604,EHT-1864,NCIH146,SCLC,2.872611,EHT-1864,3.678237,0.983429,-0.183871
605,EPZ004777,NCIH146,SCLC,3.938753,EPZ004777,5.153416,0.977035,0.418762
606,EPZ5676,NCIH146,SCLC,4.947133,EPZ5676,5.542946,1.028703,0.518448
607,Entinostat,NCIH146,SCLC,-1.810497,Entinostat,2.030317,1.637052,-1.110424
608,Entospletinib,NCIH146,SCLC,4.134874,Entospletinib,3.672838,1.222475,0.76866
609,Epirubicin,NCIH146,SCLC,-0.147009,Epirubicin,-0.852455,1.690941,0.407516
610,Erlotinib,NCIH146,SCLC,3.32368,Erlotinib,2.979885,1.448855,0.380593
611,Fulvestrant,NCIH146,SCLC,2.554232,Fulvestrant,3.730929,1.263247,-0.221659
612,GDC0810,NCIH146,SCLC,5.514699,GDC0810,5.087362,0.94553,-0.037894
613,GNE-317,NCIH146,SCLC,0.692242,GNE-317,0.681846,1.302066,0.501919
614,GSK1904529A,NCIH146,SCLC,2.84951,GSK1904529A,4.348623,1.104047,0.085044
615,GSK2578215A,NCIH146,SCLC,5.60846,GSK2578215A,4.933854,0.966128,0.052159
616,GSK2606414,NCIH146,SCLC,3.525753,GSK2606414,3.785602,1.215971,0.131327
617,GSK343,NCIH146,SCLC,3.22688,GSK343,3.602119,1.367117,0.128386
618,GW441756,NCIH146,SCLC,4.267804,GW441756,3.441226,0.92854,-0.060977
619,Gefitinib,NCIH146,SCLC,3.800289,Gefitinib,3.147493,1.212598,0.409061
620,Gemcitabine,NCIH146,SCLC,-2.358643,Gemcitabine,-0.766782,3.010521,0.751206
621,I-BET-762,NCIH146,SCLC,2.517626,I-BET-762,3.178213,1.581827,0.223007
622,I-BRD9,NCIH146,SCLC,3.658144,I-BRD9,4.358221,1.274025,0.023502
623,IWP-2,NCIH146,SCLC,3.598757,IWP-2,2.870543,0.89695,-0.504882
624,Ibrutinib,NCIH146,SCLC,4.064785,Ibrutinib,4.055961,1.812726,0.423611
625,Ipatasertib,NCIH146,SCLC,4.652238,Ipatasertib,3.403906,1.455375,0.038629
626,Irinotecan,NCIH146,SCLC,0.893964,Irinotecan,2.49049,1.934295,-0.127752
627,JNK Inhibitor VIII,NCIH146,SCLC,4.194727,JNK Inhibitor VIII,5.096918,0.961142,0.006716
628,JQ1,NCIH146,SCLC,0.279394,JQ1,2.025591,1.952515,-0.234532
629,KRAS (G12C) Inhibitor-12,NCIH146,SCLC,4.500784,KRAS (G12C) Inhibitor-12,4.449045,1.534301,0.503762
630,KU-55933,NCIH146,SCLC,5.87682,KU-55933,5.04103,1.126742,0.027768
631,LCL161,NCIH146,SCLC,5.310848,LCL161,4.766877,1.238491,0.028612
632,LGK974,NCIH146,SCLC,4.833762,LGK974,4.238238,1.107629,0.033702
633,LY2109761,NCIH146,SCLC,4.909134,LY2109761,5.00674,1.042965,0.220988
634,Lapatinib,NCIH146,SCLC,2.548869,Lapatinib,3.219614,1.583425,0.757992
635,Leflunomide,NCIH146,SCLC,5.265076,Leflunomide,5.037278,0.913415,0.063159
636,Lenalidomide,NCIH146,SCLC,5.076853,Lenalidomide,5.236581,1.07135,0.119756
637,Lestaurtinib,NCIH146,SCLC,-0.025453,Lestaurtinib,-0.014942,1.617099,0.23075
638,Linsitinib,NCIH146,SCLC,4.177161,Linsitinib,3.964537,1.322202,-0.111755
639,Luminespib,NCIH146,SCLC,-2.499019,Luminespib,-2.12391,1.817546,0.179639
640,MG-132,NCIH146,SCLC,-1.259203,MG-132,-1.2843,0.72251,0.309478
641,MIRA-1,NCIH146,SCLC,5.76915,MIRA-1,5.237632,1.234442,-0.159017
642,MK-1775,NCIH146,SCLC,0.211023,MK-1775,0.636509,1.419839,-0.063799
643,MK-2206,NCIH146,SCLC,2.745366,MK-2206,2.725214,1.48772,-0.013814
644,ML323,NCIH146,SCLC,4.213697,ML323,4.536112,1.055599,0.138758
645,MN-64,NCIH146,SCLC,5.211346,MN-64,4.673443,1.036058,0.196689
646,Mirin,NCIH146,SCLC,3.664219,Mirin,4.782781,1.183568,-0.096966
647,Motesanib,NCIH146,SCLC,5.717909,Motesanib,5.481288,1.133491,0.171347
648,NU7441,NCIH146,SCLC,2.649539,NU7441,3.132711,1.343787,0.104303
649,NVP-ADW742,NCIH146,SCLC,2.314921,NVP-ADW742,2.882258,1.472598,-0.18857
650,Navitoclax,NCIH146,SCLC,-2.783891,Navitoclax,1.776309,2.029373,-1.563169
651,Nilotinib,NCIH146,SCLC,2.614132,Nilotinib,3.364192,1.706385,-0.149961
652,Niraparib,NCIH146,SCLC,3.532639,Niraparib,4.113814,1.516015,-0.112038
653,Nutlin-3a (-),NCIH146,SCLC,4.408538,Nutlin-3a (-),4.421065,1.79125,0.632175
654,OF-1,NCIH146,SCLC,4.031124,OF-1,4.121389,1.170053,-0.173275
655,OSI-027,NCIH146,SCLC,2.036428,OSI-027,2.584887,1.493868,0.30207
656,OTX015,NCIH146,SCLC,0.944283,OTX015,2.300635,1.867904,0.382099
657,Olaparib,NCIH146,SCLC,3.06168,Olaparib,4.229661,1.301754,-0.307699
658,Osimertinib,NCIH146,SCLC,1.603608,Osimertinib,1.653115,1.279752,0.060462
659,Oxaliplatin,NCIH146,SCLC,2.40065,Oxaliplatin,4.289635,1.783409,-0.06211
660,P22077,NCIH146,SCLC,3.427862,P22077,4.40732,1.512212,-0.171136
661,PCI-34051,NCIH146,SCLC,2.898774,PCI-34051,4.396021,1.286151,-0.076943
662,PD173074,NCIH146,SCLC,3.098564,PD173074,3.763295,1.405445,0.480722
663,PFI-1,NCIH146,SCLC,4.122652,PFI-1,4.054494,1.126123,-0.123485
664,PFI3,NCIH146,SCLC,5.527107,PFI3,5.397184,0.841197,-0.11379
665,PLX-4720,NCIH146,SCLC,3.483261,PLX-4720,4.213301,1.475022,0.13321
666,PRIMA-1MET,NCIH146,SCLC,3.981674,PRIMA-1MET,4.41929,1.802017,-0.616619
667,PRT062607,NCIH146,SCLC,1.885956,PRT062607,3.172207,1.396623,0.109627
668,Paclitaxel,NCIH146,SCLC,-2.19133,Paclitaxel,-2.855697,2.01671,-0.335965
669,Palbociclib,NCIH146,SCLC,3.272229,Palbociclib,3.471142,1.587659,0.436058
670,Pevonedistat,NCIH146,SCLC,-0.833203,Pevonedistat,0.871473,2.147707,0.153142
671,Picolinici-acid,NCIH146,SCLC,4.160279,Picolinici-acid,5.268822,0.806529,-0.218163
672,Pictilisib,NCIH146,SCLC,2.345776,Pictilisib,1.220241,1.263352,0.527318
673,RO-3306,NCIH146,SCLC,1.836807,RO-3306,3.507804,1.618155,-0.482705
674,RVX-208,NCIH146,SCLC,5.690839,RVX-208,4.738824,1.076382,-0.002825
675,Ribociclib,NCIH146,SCLC,3.987825,Ribociclib,3.658547,1.223182,0.48138
676,Rucaparib,NCIH146,SCLC,3.10286,Rucaparib,3.987035,1.062433,-0.115574
677,Ruxolitinib,NCIH146,SCLC,4.510341,Ruxolitinib,4.797735,1.162398,0.293173
678,SB216763,NCIH146,SCLC,5.880987,SB216763,5.18065,1.038908,0.184529
679,SB590885,NCIH146,SCLC,3.347828,SB590885,4.342276,1.355433,0.342878
680,SGC0946,NCIH146,SCLC,2.014679,SGC0946,2.104319,0.798566,0.270902
681,SN-38,NCIH146,SCLC,-2.756189,SN-38,-2.169489,3.597159,-0.418383
682,Sabutoclax,NCIH146,SCLC,0.432447,Sabutoclax,-0.348779,1.269565,0.015206
683,Sapitinib,NCIH146,SCLC,5.13834,Sapitinib,3.736865,1.78758,0.93455
684,Savolitinib,NCIH146,SCLC,2.864778,Savolitinib,2.740489,1.190454,-0.245201
685,Sepantronium bromide,NCIH146,SCLC,-5.646632,Sepantronium bromide,-4.169654,1.627967,-0.57201
686,Serdemetan,NCIH146,SCLC,3.280936,Serdemetan,3.750761,1.276441,0.347483
687,Sorafenib,NCIH146,SCLC,1.23668,Sorafenib,2.545221,1.215386,-0.370556
688,Staurosporine,NCIH146,SCLC,-1.677532,Staurosporine,-2.794054,1.384635,0.495127
689,Talazoparib,NCIH146,SCLC,1.219778,Talazoparib,2.767285,2.214847,-0.234215
690,Tamoxifen,NCIH146,SCLC,4.364471,Tamoxifen,3.976104,1.224334,-0.241771
691,Tanespimycin,NCIH146,SCLC,0.25692,Tanespimycin,-0.081091,1.587668,1.271817
692,Taselisib,NCIH146,SCLC,3.432687,Taselisib,1.767096,1.694162,0.592055
693,Telomerase Inhibitor IX,NCIH146,SCLC,0.39613,Telomerase Inhibitor IX,0.654709,1.233162,-0.031308
694,Temozolomide,NCIH146,SCLC,5.159104,Temozolomide,6.264369,1.303074,0.355205
695,Temsirolimus,NCIH146,SCLC,0.329598,Temsirolimus,1.039094,1.694959,0.432885
696,Ulixertinib,NCIH146,SCLC,2.877064,Ulixertinib,2.547238,1.503594,0.761905
697,Uprosertib,NCIH146,SCLC,3.521902,Uprosertib,2.863995,1.707317,0.084012
698,VE-822,NCIH146,SCLC,4.425436,VE-822,3.131455,1.791876,0.37903
699,Veliparib,NCIH146,SCLC,5.392121,Veliparib,5.263978,0.912873,0.288541
700,Venetoclax,NCIH146,SCLC,-0.345648,Venetoclax,2.374326,2.075205,-0.949466
701,Vismodegib,NCIH146,SCLC,5.278959,Vismodegib,4.949888,0.982005,-0.038883
702,Vorinostat,NCIH146,SCLC,-0.000713,Vorinostat,1.487515,1.090544,-0.316901
703,WEHI-539,NCIH146,SCLC,-1.080451,WEHI-539,3.678485,1.717039,-0.765029
704,WIKI4,NCIH146,SCLC,3.25152,WIKI4,3.734385,0.961632,0.254837
705,WZ4003,NCIH146,SCLC,5.703216,WZ4003,4.157618,1.375173,0.276689
706,Wnt-C59,NCIH146,SCLC,4.749937,Wnt-C59,4.338048,1.095405,-0.131444
707,XAV939,NCIH146,SCLC,4.010385,XAV939,4.28841,0.991368,0.268887
708,YK-4-279,NCIH146,SCLC,2.558391,YK-4-279,2.247231,1.651518,-0.394777
709,ZM447439,NCIH146,SCLC,2.582555,ZM447439,2.576872,1.70601,-0.279455
710,5-Fluorouracil,NCIH1299,LCLC,3.664405,5-Fluorouracil,4.392229,1.71976,-0.203856
711,ABT737,NCIH1299,LCLC,5.057074,ABT737,1.875342,2.053694,0.382419
712,AGI-5198,NCIH1299,LCLC,6.079127,AGI-5198,4.704103,0.907583,-0.04591
713,AGI-6780,NCIH1299,LCLC,3.916117,AGI-6780,4.344912,1.086023,-0.517769
714,AGK2,NCIH1299,LCLC,4.706475,AGK2,3.26451,0.926755,-0.266444
715,AZ960,NCIH1299,LCLC,1.40766,AZ960,1.895669,1.724101,-0.207401
716,AZD3759,NCIH1299,LCLC,3.71533,AZD3759,2.512182,1.084536,-0.0653
717,AZD4547,NCIH1299,LCLC,4.525209,AZD4547,3.088286,1.600252,-0.325928
718,AZD5363,NCIH1299,LCLC,4.78573,AZD5363,2.84782,1.441898,0.114285
719,AZD5582,NCIH1299,LCLC,0.904442,AZD5582,2.157595,2.342092,0.071852
720,AZD6738,NCIH1299,LCLC,3.545464,AZD6738,2.057259,1.461663,-0.153151
721,AZD7762,NCIH1299,LCLC,0.370718,AZD7762,0.164435,1.542725,-0.077031
722,AZD8186,NCIH1299,LCLC,3.883849,AZD8186,3.134757,1.404232,0.467886
723,Afatinib,NCIH1299,LCLC,2.018097,Afatinib,1.594663,1.481016,0.031824
724,Afuresertib,NCIH1299,LCLC,4.188932,Afuresertib,2.40255,1.471751,0.282779
725,Alpelisib,NCIH1299,LCLC,3.376081,Alpelisib,3.451086,1.407226,0.286063
726,Avagacestat,NCIH1299,LCLC,4.806916,Avagacestat,4.759122,1.072116,-0.068768
727,Axitinib,NCIH1299,LCLC,2.304867,Axitinib,2.903591,1.677112,-0.452038
728,BMS-345541,NCIH1299,LCLC,2.372824,BMS-345541,3.277956,1.320431,-0.438464
729,BMS-536924,NCIH1299,LCLC,2.195746,BMS-536924,2.108959,1.381132,-0.152672
730,BMS-754807,NCIH1299,LCLC,2.675781,BMS-754807,2.163231,1.99775,0.177382
731,Bortezomib,NCIH1299,LCLC,-4.446316,Bortezomib,-4.739097,1.068388,0.000844
732,Bosutinib,NCIH1299,LCLC,3.646027,Bosutinib,2.618644,1.532012,-0.072891
733,Buparlisib,NCIH1299,LCLC,1.267783,Buparlisib,1.132283,0.942456,-0.360271
734,CCT007093,NCIH1299,LCLC,5.730331,CCT007093,5.191327,0.862412,-0.444268
735,CZC24832,NCIH1299,LCLC,5.311388,CZC24832,5.137594,0.949818,-0.275455
736,Camptothecin,NCIH1299,LCLC,-1.935191,Camptothecin,-2.257481,1.838996,-0.033249
737,Cediranib,NCIH1299,LCLC,4.480668,Cediranib,2.271131,1.192376,-0.246885
738,Crizotinib,NCIH1299,LCLC,2.410131,Crizotinib,2.560661,1.510603,-0.295516
739,Cyclophosphamide,NCIH1299,LCLC,6.13003,Cyclophosphamide,5.25922,0.888712,-0.366171
740,Dactinomycin,NCIH1299,LCLC,-3.403993,Dactinomycin,-3.772788,1.88294,-0.072389
741,Dactolisib,NCIH1299,LCLC,-1.73866,Dactolisib,-1.510724,1.429786,-0.347923
742,Dasatinib,NCIH1299,LCLC,-0.376475,Dasatinib,1.287237,2.324073,0.159926
743,Dinaciclib,NCIH1299,LCLC,-2.920625,Dinaciclib,-2.654463,1.473357,-0.440837
744,Docetaxel,NCIH1299,LCLC,-3.059773,Docetaxel,-3.417161,2.548602,-0.492089
745,Doramapimod,NCIH1299,LCLC,6.129233,Doramapimod,4.93907,1.188278,-0.081275
746,EHT-1864,NCIH1299,LCLC,4.453499,EHT-1864,3.678237,0.983429,-0.367697
747,EPZ004777,NCIH1299,LCLC,5.444387,EPZ004777,5.153416,0.977035,-0.071602
748,EPZ5676,NCIH1299,LCLC,5.486898,EPZ5676,5.542946,1.028703,0.020658
749,Entinostat,NCIH1299,LCLC,4.471658,Entinostat,2.030317,1.637052,-0.090027
750,Entospletinib,NCIH1299,LCLC,3.659256,Entospletinib,3.672838,1.222475,0.021146
751,Epirubicin,NCIH1299,LCLC,-0.582449,Epirubicin,-0.852455,1.690941,-0.305089
752,Erlotinib,NCIH1299,LCLC,4.720582,Erlotinib,2.979885,1.448855,-0.305668
753,Fulvestrant,NCIH1299,LCLC,3.999446,Fulvestrant,3.730929,1.263247,-0.449407
754,GDC0810,NCIH1299,LCLC,5.951837,GDC0810,5.087362,0.94553,-0.411268
755,GNE-317,NCIH1299,LCLC,0.893611,GNE-317,0.681846,1.302066,0.309507
756,GSK1904529A,NCIH1299,LCLC,4.520284,GSK1904529A,4.348623,1.104047,-0.319738
757,GSK2578215A,NCIH1299,LCLC,6.133415,GSK2578215A,4.933854,0.966128,-0.13474
758,GSK2606414,NCIH1299,LCLC,4.552003,GSK2606414,3.785602,1.215971,-0.383214
759,GSK343,NCIH1299,LCLC,3.873278,GSK343,3.602119,1.367117,-0.129015
760,GW441756,NCIH1299,LCLC,4.409559,GW441756,3.441226,0.92854,-0.378811
761,Gefitinib,NCIH1299,LCLC,3.457808,Gefitinib,3.147493,1.212598,0.249556
762,Gemcitabine,NCIH1299,LCLC,-0.045722,Gemcitabine,-0.766782,3.010521,-0.11916
763,I-BET-762,NCIH1299,LCLC,2.139464,I-BET-762,3.178213,1.581827,0.16217
764,I-BRD9,NCIH1299,LCLC,3.938031,I-BRD9,4.358221,1.274025,-0.246847
765,IWP-2,NCIH1299,LCLC,2.632805,IWP-2,2.870543,0.89695,-0.414592
766,Ibrutinib,NCIH1299,LCLC,6.13504,Ibrutinib,4.055961,1.812726,0.175151
767,Ipatasertib,NCIH1299,LCLC,5.138786,Ipatasertib,3.403906,1.455375,0.298653
768,Irinotecan,NCIH1299,LCLC,3.029664,Irinotecan,2.49049,1.934295,0.026574
769,JNK Inhibitor VIII,NCIH1299,LCLC,5.18681,JNK Inhibitor VIII,5.096918,0.961142,-0.277039
770,JQ1,NCIH1299,LCLC,0.9488,JQ1,2.025591,1.952515,0.14777
771,KRAS (G12C) Inhibitor-12,NCIH1299,LCLC,3.410693,KRAS (G12C) Inhibitor-12,4.449045,1.534301,-0.361541
772,KU-55933,NCIH1299,LCLC,6.129259,KU-55933,5.04103,1.126742,-0.203513
773,LCL161,NCIH1299,LCLC,4.589251,LCL161,4.766877,1.238491,-0.072991
774,LGK974,NCIH1299,LCLC,4.115643,LGK974,4.238238,1.107629,-0.510728
775,LY2109761,NCIH1299,LCLC,5.661692,LY2109761,5.00674,1.042965,-0.052158
776,Lapatinib,NCIH1299,LCLC,5.618167,Lapatinib,3.219614,1.583425,0.007001
777,Leflunomide,NCIH1299,LCLC,5.068115,Leflunomide,5.037278,0.913415,-0.192744
778,Lenalidomide,NCIH1299,LCLC,5.472552,Lenalidomide,5.236581,1.07135,-0.318463
779,Lestaurtinib,NCIH1299,LCLC,-0.423013,Lestaurtinib,-0.014942,1.617099,-0.063868
780,Linsitinib,NCIH1299,LCLC,5.174545,Linsitinib,3.964537,1.322202,-0.245547
781,Luminespib,NCIH1299,LCLC,-3.013247,Luminespib,-2.12391,1.817546,-0.099842
782,MG-132,NCIH1299,LCLC,-1.606815,MG-132,-1.2843,0.72251,0.13588
783,MIRA-1,NCIH1299,LCLC,5.907918,MIRA-1,5.237632,1.234442,-0.064087
784,MK-1775,NCIH1299,LCLC,0.209331,MK-1775,0.636509,1.419839,-0.510778
785,MK-2206,NCIH1299,LCLC,3.827394,MK-2206,2.725214,1.48772,0.213818
786,ML323,NCIH1299,LCLC,4.001355,ML323,4.536112,1.055599,-0.328684
787,MN-64,NCIH1299,LCLC,5.936162,MN-64,4.673443,1.036058,0.024916
788,Mirin,NCIH1299,LCLC,4.991169,Mirin,4.782781,1.183568,-0.466365
789,Motesanib,NCIH1299,LCLC,6.131382,Motesanib,5.481288,1.133491,-0.163468
790,NU7441,NCIH1299,LCLC,3.521643,NU7441,3.132711,1.343787,-0.32527
791,NVP-ADW742,NCIH1299,LCLC,4.314051,NVP-ADW742,2.882258,1.472598,-0.337361
792,Navitoclax,NCIH1299,LCLC,4.15693,Navitoclax,1.776309,2.029373,0.41429
793,Nilotinib,NCIH1299,LCLC,4.99891,Nilotinib,3.364192,1.706385,-0.359274
794,Niraparib,NCIH1299,LCLC,4.856973,Niraparib,4.113814,1.516015,0.146828
795,Nutlin-3a (-),NCIH1299,LCLC,5.276151,Nutlin-3a (-),4.421065,1.79125,0.275155
796,OF-1,NCIH1299,LCLC,4.058891,OF-1,4.121389,1.170053,-0.163674
797,OSI-027,NCIH1299,LCLC,1.478582,OSI-027,2.584887,1.493868,0.04461
798,OTX015,NCIH1299,LCLC,1.086611,OTX015,2.300635,1.867904,0.118983
799,Olaparib,NCIH1299,LCLC,5.599367,Olaparib,4.229661,1.301754,-0.051962
800,Osimertinib,NCIH1299,LCLC,3.832455,Osimertinib,1.653115,1.279752,-0.12983
801,Oxaliplatin,NCIH1299,LCLC,3.96625,Oxaliplatin,4.289635,1.783409,-0.093221
802,P22077,NCIH1299,LCLC,5.889721,P22077,4.40732,1.512212,-0.05907
803,PCI-34051,NCIH1299,LCLC,4.2422,PCI-34051,4.396021,1.286151,-0.116841
804,PD173074,NCIH1299,LCLC,4.027859,PD173074,3.763295,1.405445,0.051142
805,PFI-1,NCIH1299,LCLC,3.485345,PFI-1,4.054494,1.126123,-0.275093
806,PFI3,NCIH1299,LCLC,5.409631,PFI3,5.397184,0.841197,-0.273335
807,PLX-4720,NCIH1299,LCLC,5.051263,PLX-4720,4.213301,1.475022,-0.071625
808,PRIMA-1MET,NCIH1299,LCLC,5.45265,PRIMA-1MET,4.41929,1.802017,-0.334885
809,PRT062607,NCIH1299,LCLC,2.852697,PRT062607,3.172207,1.396623,0.24746
810,Paclitaxel,NCIH1299,LCLC,-2.020618,Paclitaxel,-2.855697,2.01671,-0.466371
811,Palbociclib,NCIH1299,LCLC,2.902014,Palbociclib,3.471142,1.587659,0.173729
812,Pevonedistat,NCIH1299,LCLC,-0.415934,Pevonedistat,0.871473,2.147707,-0.557805
813,Picolinici-acid,NCIH1299,LCLC,5.679665,Picolinici-acid,5.268822,0.806529,-0.502819
814,Pictilisib,NCIH1299,LCLC,1.643482,Pictilisib,1.220241,1.263352,-0.063252
815,RO-3306,NCIH1299,LCLC,3.031667,RO-3306,3.507804,1.618155,-0.529818
816,RVX-208,NCIH1299,LCLC,4.138956,RVX-208,4.738824,1.076382,-0.105095
817,Ribociclib,NCIH1299,LCLC,2.889385,Ribociclib,3.658547,1.223182,0.109447
818,Rucaparib,NCIH1299,LCLC,4.765758,Rucaparib,3.987035,1.062433,-0.063317
819,Ruxolitinib,NCIH1299,LCLC,5.414423,Ruxolitinib,4.797735,1.162398,0.041816
820,SB216763,NCIH1299,LCLC,4.409957,SB216763,5.18065,1.038908,-0.417648
821,SB590885,NCIH1299,LCLC,4.902881,SB590885,4.342276,1.355433,-0.009482
822,SGC0946,NCIH1299,LCLC,2.255224,SGC0946,2.104319,0.798566,-0.20198
823,SN-38,NCIH1299,LCLC,-3.304867,SN-38,-2.169489,3.597159,0.036896
824,Sabutoclax,NCIH1299,LCLC,-0.848943,Sabutoclax,-0.348779,1.269565,-0.225777
825,Sapitinib,NCIH1299,LCLC,5.201251,Sapitinib,3.736865,1.78758,0.481267
826,Savolitinib,NCIH1299,LCLC,3.80093,Savolitinib,2.740489,1.190454,-0.394851
827,Sepantronium bromide,NCIH1299,LCLC,-4.534037,Sepantronium bromide,-4.169654,1.627967,-0.548132
828,Serdemetan,NCIH1299,LCLC,4.056652,Serdemetan,3.750761,1.276441,0.160864
829,Sorafenib,NCIH1299,LCLC,3.083745,Sorafenib,2.545221,1.215386,-0.354467
830,Staurosporine,NCIH1299,LCLC,-3.261003,Staurosporine,-2.794054,1.384635,-0.111729
831,Talazoparib,NCIH1299,LCLC,4.094152,Talazoparib,2.767285,2.214847,0.255283
832,Tamoxifen,NCIH1299,LCLC,5.287599,Tamoxifen,3.976104,1.224334,-0.407713
833,Tanespimycin,NCIH1299,LCLC,-0.868724,Tanespimycin,-0.081091,1.587668,0.296795
834,Taselisib,NCIH1299,LCLC,2.636516,Taselisib,1.767096,1.694162,0.259103
835,Telomerase Inhibitor IX,NCIH1299,LCLC,0.215811,Telomerase Inhibitor IX,0.654709,1.233162,-0.287077
836,Temozolomide,NCIH1299,LCLC,6.496252,Temozolomide,6.264369,1.303074,0.081824
837,Temsirolimus,NCIH1299,LCLC,1.541431,Temsirolimus,1.039094,1.694959,0.419556
838,Ulixertinib,NCIH1299,LCLC,2.394521,Ulixertinib,2.547238,1.503594,-0.210444
839,Uprosertib,NCIH1299,LCLC,2.806265,Uprosertib,2.863995,1.707317,0.220267
840,VE-822,NCIH1299,LCLC,4.159415,VE-822,3.131455,1.791876,-0.08724
841,Veliparib,NCIH1299,LCLC,5.697729,Veliparib,5.263978,0.912873,-0.228928
842,Venetoclax,NCIH1299,LCLC,3.622796,Venetoclax,2.374326,2.075205,0.149693
843,Vismodegib,NCIH1299,LCLC,4.837852,Vismodegib,4.949888,0.982005,-0.22881
844,Vorinostat,NCIH1299,LCLC,2.75112,Vorinostat,1.487515,1.090544,-0.041869
845,WEHI-539,NCIH1299,LCLC,5.482658,WEHI-539,3.678485,1.717039,0.062295
846,WIKI4,NCIH1299,LCLC,5.125103,WIKI4,3.734385,0.961632,-0.166969
847,WZ4003,NCIH1299,LCLC,3.195575,WZ4003,4.157618,1.375173,-0.258015
848,Wnt-C59,NCIH1299,LCLC,4.327226,Wnt-C59,4.338048,1.095405,-0.313915
849,XAV939,NCIH1299,LCLC,4.477803,XAV939,4.28841,0.991368,0.205399
850,YK-4-279,NCIH1299,LCLC,2.955946,YK-4-279,2.247231,1.651518,-0.557128
851,ZM447439,NCIH1299,LCLC,3.718174,ZM447439,2.576872,1.70601,-0.241826
852,5-Fluorouracil,EKVX,LUAD,7.035487,5-Fluorouracil,4.392229,1.71976,0.700472
853,ABT737,EKVX,LUAD,4.68039,ABT737,1.875342,2.053694,0.439596
854,AGI-5198,EKVX,LUAD,5.190785,AGI-5198,4.704103,0.907583,0.368384
855,AGI-6780,EKVX,LUAD,5.695669,AGI-6780,4.344912,1.086023,0.240662
856,AGK2,EKVX,LUAD,4.447545,AGK2,3.26451,0.926755,0.264318
857,AZ960,EKVX,LUAD,3.25055,AZ960,1.895669,1.724101,0.535171
858,AZD3759,EKVX,LUAD,1.432416,AZD3759,2.512182,1.084536,0.351162
859,AZD4547,EKVX,LUAD,7.074616,AZD4547,3.088286,1.600252,0.254024
860,AZD5363,EKVX,LUAD,3.612228,AZD5363,2.84782,1.441898,-0.185775
861,AZD5582,EKVX,LUAD,5.542313,AZD5582,2.157595,2.342092,0.273929
862,AZD6738,EKVX,LUAD,4.347309,AZD6738,2.057259,1.461663,0.362634
863,AZD7762,EKVX,LUAD,3.732259,AZD7762,0.164435,1.542725,0.453989
864,AZD8186,EKVX,LUAD,2.956266,AZD8186,3.134757,1.404232,-0.115933
865,Afatinib,EKVX,LUAD,0.370903,Afatinib,1.594663,1.481016,0.088335
866,Afuresertib,EKVX,LUAD,3.431348,Afuresertib,2.40255,1.471751,-0.301692
867,Alpelisib,EKVX,LUAD,5.395971,Alpelisib,3.451086,1.407226,0.065691
868,Avagacestat,EKVX,LUAD,6.4147,Avagacestat,4.759122,1.072116,0.426551
869,Axitinib,EKVX,LUAD,5.118055,Axitinib,2.903591,1.677112,0.575409
